SampleID,T2,Prediction T2,Q,Prediction Q,Combined Index,Combined Prediction,Lifestyle
37035_2#11,101.91950888659217,Urban,141.06357154942384,Rural,1.6950925995243113,Urban,Urban
37035_2#12,82.80091722138249,Urban,72.73626173734957,Rural,1.3221291344131711,Urban,Urban
37035_2#13,111.75314318985282,Urban,145.35819140257988,Rural,1.846406512055922,Urban,Urban
37035_2#14,80.26013335037162,Urban,101.49176374112673,Rural,1.3222597944062924,Urban,Urban
37035_2#15,158.62310923007269,Urban,136.99882357260879,Rural,2.529747236766005,Urban,Urban
37035_2#16,127.22623649881244,Urban,108.81387827052191,Rural,2.027621682264499,Urban,Urban
37035_2#17,114.52257772385413,Urban,96.20762051071699,Rural,1.8228749062396192,Urban,Urban
37035_2#18,132.07716467801555,Urban,100.61545931879503,Rural,2.0887138666117773,Urban,Urban
37035_2#19,152.54404401824172,Urban,139.20462923133445,Rural,2.4425906630579735,Urban,Urban
37035_2#1,111.29485680666288,Urban,162.31385828071518,Rural,1.8618881700040952,Urban,Urban
37035_2#20,147.61926338206214,Urban,119.69474397877383,Rural,2.3440106769617723,Urban,Urban
37035_2#21,82.90408918048553,Urban,129.77984823711105,Rural,1.3985820092222976,Urban,Urban
37035_2#23,86.7329680736393,Urban,95.35368029700035,Rural,1.4100846827244142,Urban,Urban
37035_2#24,79.92934871746898,Urban,65.8855247323635,Rural,1.2705922339469016,Urban,Urban
37035_2#25,107.9072221693227,Urban,72.87601076250807,Rural,1.6942314641116483,Urban,Urban
37035_2#26,127.22050647998515,Urban,76.34044394229285,Rural,1.984884218720194,Urban,Urban
37035_2#27,124.68529688273101,Urban,160.41513799847604,Rural,2.0577570404678562,Urban,Urban
37035_2#28,71.31637093742015,Urban,74.5347448778637,Rural,1.154362059536144,Urban,Urban
37035_2#29,115.66359115988043,Urban,109.59156974131092,Rural,1.8573568969733625,Urban,Urban
37035_2#2,126.27687495187777,Urban,140.63814279878503,Rural,2.055357989586417,Urban,Urban
37035_2#30,92.54350368962778,Urban,100.8153521106522,Rural,1.5033342539373777,Urban,Urban
37035_2#31,138.73192884988842,Urban,100.29882292812484,Rural,2.186880056146178,Urban,Urban
37035_2#32,112.17942633863291,Urban,114.66094878642284,Rural,1.8124017459180461,Urban,Urban
37035_2#3,114.19126488262974,Urban,89.49340749036092,Rural,1.8091480622745653,Urban,Urban
37035_2#4,130.00023502551963,Urban,131.3238863619162,Rural,2.098281041979349,Urban,Urban
37035_2#5,99.79899717462696,Urban,98.46150829702535,Rural,1.6077237113862963,Urban,Urban
