Experiment,Seed,Treatment,Index,F1,Precision,Recall,Specificity,Accuracy,Balanced Accuracy,Selected features
4,84,Without compositional treatment,T2,0.9339645828801937,0.8929977472562933,0.9799999999999999,0.8269841269841269,0.9173397717295874,0.9034920634920635,83.4
5,101,With CLR,Combined,0.9321078543385493,0.9354375711721146,0.93,0.906084656084656,0.9200614574187884,0.918042328042328,186.6
5,101,With CLR,Q,0.0,0.0,0.0,1.0,0.40825285338015804,0.5,186.6
5,101,With CLR,T2,0.9123127684531193,0.9423496667399107,0.885,0.9203703703703704,0.8993415276558384,0.9026851851851851,186.6
5,101,Without compositional treatment,Combined,0.9282567545398115,0.8709232812222846,0.9949999999999999,0.7833333333333333,0.9083845478489904,0.8891666666666668,80.8
5,101,Without compositional treatment,Q,0.8963402141350739,0.9681285831285832,0.8400000000000001,0.9563492063492063,0.887532923617208,0.8981746031746033,80.8
5,101,Without compositional treatment,T2,0.9310704851491527,0.8924418604651162,0.975,0.8267195767195767,0.9142230026338893,0.9008597883597883,80.8
6,202,With CLR,Combined,0.9203463244335595,0.9338286614532599,0.9099999999999999,0.906084656084656,0.9081650570676032,0.9080423280423281,188.0
6,202,With CLR,Q,0.0,0.0,0.0,1.0,0.40825285338015804,0.5,188.0
6,202,With CLR,T2,0.902215445410822,0.9452109002109003,0.865,0.9275132275132275,0.890342405618964,0.8962566137566137,188.0
6,202,Without compositional treatment,Combined,0.923067941145416,0.8695526695526695,0.985,0.7833333333333333,0.902414398595259,0.8841666666666667,87.4
6,202,Without compositional treatment,Q,0.8597331435687601,0.9691400491400491,0.775,0.9637566137566138,0.8518876207199299,0.869378306878307,87.4
6,202,Without compositional treatment,T2,0.9162395549130158,0.8816103656477294,0.9550000000000001,0.8121693121693122,0.8964881474978051,0.8835846560846561,87.4
7,303,With CLR,Combined,0.9374243100347517,0.935950391684935,0.9400000000000001,0.9058201058201059,0.9260755048287972,0.9229100529100529,184.6
7,303,With CLR,Q,0.0,0.0,0.0,1.0,0.40825285338015804,0.5,184.6
7,303,With CLR,T2,0.9196711986247852,0.9477101760028589,0.8949999999999999,0.9275132275132275,0.9083845478489904,0.9112566137566137,184.6
7,303,Without compositional treatment,Combined,0.9280278413465588,0.8747371675943105,0.99,0.7907407407407407,0.9083845478489904,0.8903703703703704,84.8
7,303,Without compositional treatment,Q,0.8789077931135194,0.9626890756302521,0.8150000000000001,0.9494708994708996,0.8697541703248464,0.8822354497354497,84.8
7,303,Without compositional treatment,T2,0.9309339240789297,0.8960122239520267,0.97,0.8341269841269842,0.9143107989464443,0.902063492063492,84.8
8,404,With CLR,Combined,0.9214296595731195,0.9337723168018417,0.9099999999999999,0.9058201058201059,0.9083845478489904,0.9079100529100529,180.8
8,404,With CLR,Q,0.0,0.0,0.0,1.0,0.40825285338015804,0.5,180.8
8,404,With CLR,T2,0.8912630076612078,0.9453011900380321,0.845,0.9272486772486772,0.8788410886742757,0.8861243386243386,180.8
8,404,Without compositional treatment,Combined,0.9280438114103747,0.8744423911738537,0.99,0.7907407407407407,0.9084723441615452,0.8903703703703704,77.8
8,404,Without compositional treatment,Q,0.908777102922239,0.9676724256136021,0.86,0.9566137566137567,0.8995610184372257,0.9083068783068782,77.8
8,404,Without compositional treatment,T2,0.9334936668270002,0.8968218773096822,0.975,0.8341269841269842,0.9173397717295874,0.9045634920634921,77.8
9,505,With CLR,Combined,0.9206243435640097,0.932998712998713,0.9099999999999999,0.9058201058201059,0.9080772607550482,0.9079100529100529,184.2
9,505,With CLR,Q,0.0,0.0,0.0,1.0,0.40825285338015804,0.5,184.2
9,505,With CLR,T2,0.9190219240219241,0.9513718517278889,0.89,0.9346560846560846,0.9080772607550482,0.9123280423280423,184.2
9,505,Without compositional treatment,Combined,0.9205615528683053,0.8687481444829291,0.9800000000000001,0.7835978835978835,0.8995610184372257,0.8817989417989418,79.4
9,505,Without compositional treatment,Q,0.9211924907363503,0.9685404568331398,0.8800000000000001,0.9563492063492063,0.9111062335381914,0.9181746031746032,79.4
9,505,Without compositional treatment,T2,0.9281442001600109,0.8945869684610468,0.9649999999999999,0.8338624338624339,0.911369622475856,0.8994312169312169,79.4
10,606,With CLR,Combined,0.9094905094905095,0.9411095305832149,0.8800000000000001,0.9203703703703704,0.8965320456540825,0.9001851851851852,184.6
10,606,With CLR,Q,0.0,0.0,0.0,1.0,0.40825285338015804,0.5,184.6
10,606,With CLR,T2,0.8699426699426699,0.9416136724960253,0.8099999999999999,0.9275132275132275,0.8582089552238805,0.8687566137566138,184.6
10,606,Without compositional treatment,Combined,0.9215138929134872,0.8628261336771974,0.99,0.7690476190476191,0.8996049165935031,0.8795238095238094,77.0
10,606,Without compositional treatment,Q,0.8928615811009466,0.9604387504387505,0.835,0.9492063492063492,0.8815627743634767,0.8921031746031746,77.0
10,606,Without compositional treatment,T2,0.9267706771211117,0.8844069353929239,0.975,0.8124338624338623,0.9084723441615452,0.8937169312169312,77.0
