Treatment,Index,Selected features,F1,Precision,Recall,Specificity,Accuracy,Balanced Accuracy,TP,FP,TN,FN,Fold,Experiment,Seed,Samples,CLR input features,Pseudocount
Without compositional treatment,Combined,83,0.8764044943820225,0.7959183673469388,0.975,0.6428571428571429,0.8382352941176471,0.8089285714285714,39,10,18,1,3,3,42,338,202,0.0005
With CLR,T2,187,0.9367088607594937,0.9487179487179487,0.925,0.9285714285714286,0.9264705882352942,0.9267857142857143,37,2,26,3,3,3,42,338,202,0.0005
With CLR,Q,187,0.0,0.0,0.0,1.0,0.4117647058823529,0.5,0,0,28,40,3,3,42,338,202,0.0005
With CLR,Combined,187,0.95,0.95,0.95,0.9285714285714286,0.9411764705882353,0.9392857142857143,38,2,26,2,3,3,42,338,202,0.0005
Without compositional treatment,T2,83,0.9397590361445783,0.9069767441860465,0.975,0.8518518518518519,0.9253731343283582,0.9134259259259259,39,4,23,1,4,3,42,338,202,0.0005
Without compositional treatment,Q,83,0.9367088607594937,0.9487179487179487,0.925,0.9259259259259259,0.9253731343283582,0.9254629629629629,37,2,25,3,4,3,42,338,202,0.0005
Without compositional treatment,Combined,83,0.9285714285714286,0.8863636363636364,0.975,0.8148148148148148,0.9104477611940298,0.8949074074074074,39,5,22,1,4,3,42,338,202,0.0005
With CLR,T2,188,0.9367088607594937,0.9487179487179487,0.925,0.9259259259259259,0.9253731343283582,0.9254629629629629,37,2,25,3,4,3,42,338,202,0.0005
With CLR,Q,188,0.0,0.0,0.0,1.0,0.40298507462686567,0.5,0,0,27,40,4,3,42,338,202,0.0005
With CLR,Combined,188,0.9382716049382716,0.926829268292683,0.95,0.8888888888888888,0.9253731343283582,0.9194444444444444,38,3,24,2,4,3,42,338,202,0.0005
Without compositional treatment,T2,87,0.9512195121951219,0.9285714285714286,0.975,0.8888888888888888,0.9402985074626866,0.9319444444444445,39,3,24,1,5,3,42,338,202,0.0005
Without compositional treatment,Q,87,0.9066666666666666,0.9714285714285714,0.85,0.9629629629629629,0.8955223880597015,0.9064814814814814,34,1,26,6,5,3,42,338,202,0.0005
Without compositional treatment,Combined,87,0.963855421686747,0.9302325581395349,1.0,0.8888888888888888,0.9552238805970149,0.9444444444444444,40,3,24,0,5,3,42,338,202,0.0005
With CLR,T2,188,0.9367088607594937,0.9487179487179487,0.925,0.9259259259259259,0.9253731343283582,0.9254629629629629,37,2,25,3,5,3,42,338,202,0.0005
With CLR,Q,188,0.0,0.0,0.0,1.0,0.40298507462686567,0.5,0,0,27,40,5,3,42,338,202,0.0005
With CLR,Combined,188,0.95,0.95,0.95,0.9259259259259259,0.9402985074626866,0.9379629629629629,38,2,25,2,5,3,42,338,202,0.0005
Without compositional treatment,T2,85,0.896551724137931,0.8297872340425532,0.975,0.7142857142857143,0.8676470588235294,0.8446428571428571,39,8,20,1,1,4,84,338,198,0.0005
Without compositional treatment,Q,85,0.9066666666666666,0.9714285714285714,0.85,0.9642857142857143,0.8970588235294118,0.9071428571428571,34,1,27,6,1,4,84,338,198,0.0005
Without compositional treatment,Combined,85,0.898876404494382,0.8163265306122449,1.0,0.6785714285714286,0.8676470588235294,0.8392857142857143,40,9,19,0,1,4,84,338,198,0.0005
With CLR,T2,189,0.9230769230769231,0.9473684210526315,0.9,0.9285714285714286,0.9117647058823529,0.9142857142857144,36,2,26,4,1,4,84,338,198,0.0005
With CLR,Q,189,0.0,0.0,0.0,1.0,0.4117647058823529,0.5,0,0,28,40,1,4,84,338,198,0.0005
With CLR,Combined,189,0.926829268292683,0.9047619047619048,0.95,0.8571428571428571,0.9117647058823529,0.9035714285714285,38,4,24,2,1,4,84,338,198,0.0005
Without compositional treatment,T2,83,0.9512195121951219,0.9285714285714286,0.975,0.8928571428571429,0.9411764705882353,0.9339285714285714,39,3,25,1,2,4,84,338,198,0.0005
Without compositional treatment,Q,83,0.9041095890410958,1.0,0.825,1.0,0.8970588235294118,0.9125,33,0,28,7,2,4,84,338,198,0.0005
Without compositional treatment,Combined,83,0.9523809523809523,0.9090909090909091,1.0,0.8571428571428571,0.9411764705882353,0.9285714285714286,40,4,24,0,2,4,84,338,198,0.0005
With CLR,T2,189,0.9090909090909091,0.9459459459459459,0.875,0.9285714285714286,0.8970588235294118,0.9017857142857143,35,2,26,5,2,4,84,338,198,0.0005
With CLR,Q,189,0.0,0.0,0.0,1.0,0.4117647058823529,0.5,0,0,28,40,2,4,84,338,198,0.0005
With CLR,Combined,189,0.9367088607594937,0.9487179487179487,0.925,0.9285714285714286,0.9264705882352942,0.9267857142857143,37,2,26,3,2,4,84,338,198,0.0005
Without compositional treatment,T2,85,0.9069767441860465,0.8478260869565217,0.975,0.75,0.8823529411764706,0.8625,39,7,21,1,3,4,84,338,198,0.0005
Without compositional treatment,Q,85,0.935064935064935,0.972972972972973,0.9,0.9642857142857143,0.9264705882352942,0.9321428571428572,36,1,27,4,3,4,84,338,198,0.0005
Without compositional treatment,Combined,85,0.896551724137931,0.8297872340425532,0.975,0.7142857142857143,0.8676470588235294,0.8446428571428571,39,8,20,1,3,4,84,338,198,0.0005
With CLR,T2,187,0.95,0.95,0.95,0.9285714285714286,0.9411764705882353,0.9392857142857143,38,2,26,2,3,4,84,338,198,0.0005
With CLR,Q,187,0.0,0.0,0.0,1.0,0.4117647058823529,0.5,0,0,28,40,3,4,84,338,198,0.0005
With CLR,Combined,187,0.975609756097561,0.9523809523809523,1.0,0.9285714285714286,0.9705882352941176,0.9642857142857143,40,2,26,0,3,4,84,338,198,0.0005
Without compositional treatment,T2,82,0.963855421686747,0.9302325581395349,1.0,0.8888888888888888,0.9552238805970149,0.9444444444444444,40,3,24,0,4,4,84,338,198,0.0005
Without compositional treatment,Q,82,0.8947368421052632,0.9444444444444444,0.85,0.9259259259259259,0.8805970149253731,0.887962962962963,34,2,25,6,4,4,84,338,198,0.0005
Without compositional treatment,Combined,82,0.9411764705882353,0.8888888888888888,1.0,0.8148148148148148,0.9253731343283582,0.9074074074074074,40,5,22,0,4,4,84,338,198,0.0005
With CLR,T2,186,0.8648648648648649,0.9411764705882353,0.8,0.9259259259259259,0.8507462686567164,0.8629629629629629,32,2,25,8,4,4,84,338,198,0.0005
