Treatment,Index,Selected features,F1,Precision,Recall,Specificity,Accuracy,Balanced Accuracy,TP,FP,TN,FN,Fold,Experiment,Seed,Samples,CLR input features,Pseudocount
Without compositional treatment,Q,89,0.8285714285714286,0.9666666666666667,0.725,0.9629629629629629,0.8208955223880597,0.8439814814814814,29,1,26,11,4,6,202,338,200,0.0005
Without compositional treatment,Combined,89,0.9047619047619048,0.8636363636363636,0.95,0.7777777777777778,0.8805970149253731,0.8638888888888889,38,6,21,2,4,6,202,338,200,0.0005
With CLR,T2,190,0.8493150684931506,0.9393939393939394,0.775,0.9259259259259259,0.835820895522388,0.850462962962963,31,2,25,9,4,6,202,338,200,0.0005
With CLR,Q,190,0.0,0.0,0.0,1.0,0.40298507462686567,0.5,0,0,27,40,4,6,202,338,200,0.0005
With CLR,Combined,190,0.8648648648648649,0.9411764705882353,0.8,0.9259259259259259,0.8507462686567164,0.8629629629629629,32,2,25,8,4,6,202,338,200,0.0005
Without compositional treatment,T2,86,0.9382716049382716,0.926829268292683,0.95,0.8888888888888888,0.9253731343283582,0.9194444444444444,38,3,24,2,5,6,202,338,200,0.0005
Without compositional treatment,Q,86,0.8285714285714286,0.9666666666666667,0.725,0.9629629629629629,0.8208955223880597,0.8439814814814814,29,1,26,11,5,6,202,338,200,0.0005
Without compositional treatment,Combined,86,0.9512195121951219,0.9285714285714286,0.975,0.8888888888888888,0.9402985074626866,0.9319444444444445,39,3,24,1,5,6,202,338,200,0.0005
With CLR,T2,187,0.8947368421052632,0.9444444444444444,0.85,0.9259259259259259,0.8805970149253731,0.887962962962963,34,2,25,6,5,6,202,338,200,0.0005
With CLR,Q,187,0.0,0.0,0.0,1.0,0.40298507462686567,0.5,0,0,27,40,5,6,202,338,200,0.0005
With CLR,Combined,187,0.9367088607594937,0.9487179487179487,0.925,0.9259259259259259,0.9253731343283582,0.9254629629629629,37,2,25,3,5,6,202,338,200,0.0005
Without compositional treatment,T2,87,0.9195402298850575,0.851063829787234,1.0,0.75,0.8970588235294118,0.875,40,7,21,0,1,7,303,338,199,0.0005
Without compositional treatment,Q,87,0.926829268292683,0.9047619047619048,0.95,0.8571428571428571,0.9117647058823529,0.9035714285714285,38,4,24,2,1,7,303,338,199,0.0005
Without compositional treatment,Combined,87,0.9090909090909091,0.8333333333333334,1.0,0.7142857142857143,0.8823529411764706,0.8571428571428572,40,8,20,0,1,7,303,338,199,0.0005
With CLR,T2,183,0.9382716049382716,0.926829268292683,0.95,0.8928571428571429,0.9264705882352942,0.9214285714285715,38,3,25,2,1,7,303,338,199,0.0005
With CLR,Q,183,0.0,0.0,0.0,1.0,0.4117647058823529,0.5,0,0,28,40,1,7,303,338,199,0.0005
With CLR,Combined,183,0.9397590361445783,0.9069767441860465,0.975,0.8571428571428571,0.9264705882352942,0.9160714285714285,39,4,24,1,1,7,303,338,199,0.0005
Without compositional treatment,T2,83,0.9512195121951219,0.9285714285714286,0.975,0.8928571428571429,0.9411764705882353,0.9339285714285714,39,3,25,1,2,7,303,338,199,0.0005
Without compositional treatment,Q,83,0.8405797101449275,1.0,0.725,1.0,0.8382352941176471,0.8625,29,0,28,11,2,7,303,338,199,0.0005
Without compositional treatment,Combined,83,0.9523809523809523,0.9090909090909091,1.0,0.8571428571428571,0.9411764705882353,0.9285714285714286,40,4,24,0,2,7,303,338,199,0.0005
With CLR,T2,183,0.88,0.9428571428571428,0.825,0.9285714285714286,0.8676470588235294,0.8767857142857143,33,2,26,7,2,7,303,338,199,0.0005
With CLR,Q,183,0.0,0.0,0.0,1.0,0.4117647058823529,0.5,0,0,28,40,2,7,303,338,199,0.0005
With CLR,Combined,183,0.9090909090909091,0.9459459459459459,0.875,0.9285714285714286,0.8970588235294118,0.9017857142857143,35,2,26,5,2,7,303,338,199,0.0005
Without compositional treatment,T2,85,0.8941176470588236,0.8444444444444444,0.95,0.75,0.8676470588235294,0.85,38,7,21,2,3,7,303,338,199,0.0005
Without compositional treatment,Q,85,0.8918918918918919,0.9705882352941176,0.825,0.9642857142857143,0.8823529411764706,0.8946428571428571,33,1,27,7,3,7,303,338,199,0.0005
Without compositional treatment,Combined,85,0.898876404494382,0.8163265306122449,1.0,0.6785714285714286,0.8676470588235294,0.8392857142857143,40,9,19,0,3,7,303,338,199,0.0005
With CLR,T2,185,0.9066666666666666,0.9714285714285714,0.85,0.9642857142857143,0.8970588235294118,0.9071428571428571,34,1,27,6,3,7,303,338,199,0.0005
With CLR,Q,185,0.0,0.0,0.0,1.0,0.4117647058823529,0.5,0,0,28,40,3,7,303,338,199,0.0005
With CLR,Combined,185,0.95,0.95,0.95,0.9285714285714286,0.9411764705882353,0.9392857142857143,38,2,26,2,3,7,303,338,199,0.0005
Without compositional treatment,T2,84,0.926829268292683,0.9047619047619048,0.95,0.8518518518518519,0.9104477611940298,0.9009259259259259,38,4,23,2,4,7,303,338,199,0.0005
Without compositional treatment,Q,84,0.9066666666666666,0.9714285714285714,0.85,0.9629629629629629,0.8955223880597015,0.9064814814814814,34,1,26,6,4,7,303,338,199,0.0005
Without compositional treatment,Combined,84,0.9285714285714286,0.8863636363636364,0.975,0.8148148148148148,0.9104477611940298,0.8949074074074074,39,5,22,1,4,7,303,338,199,0.0005
With CLR,T2,184,0.9367088607594937,0.9487179487179487,0.925,0.9259259259259259,0.9253731343283582,0.9254629629629629,37,2,25,3,4,7,303,338,199,0.0005
With CLR,Q,184,0.0,0.0,0.0,1.0,0.40298507462686567,0.5,0,0,27,40,4,7,303,338,199,0.0005
With CLR,Combined,184,0.9382716049382716,0.926829268292683,0.95,0.8888888888888888,0.9253731343283582,0.9194444444444444,38,3,24,2,4,7,303,338,199,0.0005
Without compositional treatment,T2,85,0.9629629629629629,0.9512195121951219,0.975,0.9259259259259259,0.9552238805970149,0.950462962962963,39,2,25,1,5,7,303,338,199,0.0005
Without compositional treatment,Q,85,0.8285714285714286,0.9666666666666667,0.725,0.9629629629629629,0.8208955223880597,0.8439814814814814,29,1,26,11,5,7,303,338,199,0.0005
Without compositional treatment,Combined,85,0.9512195121951219,0.9285714285714286,0.975,0.8888888888888888,0.9402985074626866,0.9319444444444445,39,3,24,1,5,7,303,338,199,0.0005
With CLR,T2,188,0.9367088607594937,0.9487179487179487,0.925,0.9259259259259259,0.9253731343283582,0.9254629629629629,37,2,25,3,5,7,303,338,199,0.0005
With CLR,Q,188,0.0,0.0,0.0,1.0,0.40298507462686567,0.5,0,0,27,40,5,7,303,338,199,0.0005
With CLR,Combined,188,0.95,0.95,0.95,0.9259259259259259,0.9402985074626866,0.9379629629629629,38,2,25,2,5,7,303,338,199,0.0005
Without compositional treatment,T2,80,0.9090909090909091,0.8333333333333334,1.0,0.7142857142857143,0.8823529411764706,0.8571428571428572,40,8,20,0,1,8,404,338,195,0.0005
Without compositional treatment,Q,80,0.9113924050632911,0.9230769230769231,0.9,0.8928571428571429,0.8970588235294118,0.8964285714285715,36,3,25,4,1,8,404,338,195,0.0005
Without compositional treatment,Combined,80,0.898876404494382,0.8163265306122449,1.0,0.6785714285714286,0.8676470588235294,0.8392857142857143,40,9,19,0,1,8,404,338,195,0.0005
With CLR,T2,181,0.868421052631579,0.9166666666666666,0.825,0.8928571428571429,0.8529411764705882,0.8589285714285715,33,3,25,7,1,8,404,338,195,0.0005
With CLR,Q,181,0.0,0.0,0.0,1.0,0.4117647058823529,0.5,0,0,28,40,1,8,404,338,195,0.0005
With CLR,Combined,181,0.9,0.9,0.9,0.8571428571428571,0.8823529411764706,0.8785714285714286,36,4,24,4,1,8,404,338,195,0.0005
Without compositional treatment,T2,76,0.9382716049382716,0.926829268292683,0.95,0.8928571428571429,0.9264705882352942,0.9214285714285715,38,3,25,2,2,8,404,338,195,0.0005
Without compositional treatment,Q,76,0.8888888888888888,1.0,0.8,1.0,0.8823529411764706,0.9,32,0,28,8,2,8,404,338,195,0.0005
Without compositional treatment,Combined,76,0.9397590361445783,0.9069767441860465,0.975,0.8571428571428571,0.9264705882352942,0.9160714285714285,39,4,24,1,2,8,404,338,195,0.0005
With CLR,T2,183,0.8767123287671232,0.9696969696969697,0.8,0.9642857142857143,0.8676470588235294,0.8821428571428571,32,1,27,8,2,8,404,338,195,0.0005
With CLR,Q,183,0.0,0.0,0.0,1.0,0.4117647058823529,0.5,0,0,28,40,2,8,404,338,195,0.0005
With CLR,Combined,183,0.9230769230769231,0.9473684210526315,0.9,0.9285714285714286,0.9117647058823529,0.9142857142857144,36,2,26,4,2,8,404,338,195,0.0005
Without compositional treatment,T2,83,0.9047619047619048,0.8636363636363636,0.95,0.7857142857142857,0.8823529411764706,0.8678571428571429,38,6,22,2,3,8,404,338,195,0.0005
Without compositional treatment,Q,83,0.8767123287671232,0.9696969696969697,0.8,0.9642857142857143,0.8676470588235294,0.8821428571428571,32,1,27,8,3,8,404,338,195,0.0005
Without compositional treatment,Combined,83,0.896551724137931,0.8297872340425532,0.975,0.7142857142857143,0.8676470588235294,0.8446428571428571,39,8,20,1,3,8,404,338,195,0.0005
With CLR,T2,182,0.8767123287671232,0.9696969696969697,0.8,0.9642857142857143,0.8676470588235294,0.8821428571428571,32,1,27,8,3,8,404,338,195,0.0005
With CLR,Q,182,0.0,0.0,0.0,1.0,0.4117647058823529,0.5,0,0,28,40,3,8,404,338,195,0.0005
With CLR,Combined,182,0.9090909090909091,0.9459459459459459,0.875,0.9285714285714286,0.8970588235294118,0.9017857142857143,35,2,26,5,3,8,404,338,195,0.0005
Without compositional treatment,T2,74,0.9523809523809523,0.9090909090909091,1.0,0.8518518518518519,0.9402985074626866,0.9259259259259259,40,4,23,0,4,8,404,338,195,0.0005
Without compositional treatment,Q,74,0.975,0.975,0.975,0.9629629629629629,0.9701492537313433,0.9689814814814814,39,1,26,1,4,8,404,338,195,0.0005
Without compositional treatment,Combined,74,0.9411764705882353,0.8888888888888888,1.0,0.8148148148148148,0.9253731343283582,0.9074074074074074,40,5,22,0,4,8,404,338,195,0.0005
With CLR,T2,178,0.9113924050632911,0.9230769230769231,0.9,0.8888888888888888,0.8955223880597015,0.8944444444444444,36,3,24,4,4,8,404,338,195,0.0005
With CLR,Q,178,0.0,0.0,0.0,1.0,0.40298507462686567,0.5,0,0,27,40,4,8,404,338,195,0.0005
With CLR,Combined,178,0.9382716049382716,0.926829268292683,0.95,0.8888888888888888,0.9253731343283582,0.9194444444444444,38,3,24,2,4,8,404,338,195,0.0005
Without compositional treatment,T2,76,0.9629629629629629,0.9512195121951219,0.975,0.9259259259259259,0.9552238805970149,0.950462962962963,39,2,25,1,5,8,404,338,195,0.0005
Without compositional treatment,Q,76,0.8918918918918919,0.9705882352941176,0.825,0.9629629629629629,0.8805970149253731,0.8939814814814815,33,1,26,7,5,8,404,338,195,0.0005
Without compositional treatment,Combined,76,0.963855421686747,0.9302325581395349,1.0,0.8888888888888888,0.9552238805970149,0.9444444444444444,40,3,24,0,5,8,404,338,195,0.0005
With CLR,T2,180,0.9230769230769231,0.9473684210526315,0.9,0.9259259259259259,0.9104477611940298,0.912962962962963,36,2,25,4,5,8,404,338,195,0.0005
With CLR,Q,180,0.0,0.0,0.0,1.0,0.40298507462686567,0.5,0,0,27,40,5,8,404,338,195,0.0005
With CLR,Combined,180,0.9367088607594937,0.9487179487179487,0.925,0.9259259259259259,0.9253731343283582,0.9254629629629629,37,2,25,3,5,8,404,338,195,0.0005
Without compositional treatment,T2,79,0.9176470588235294,0.8666666666666667,0.975,0.7857142857142857,0.8970588235294118,0.8803571428571428,39,6,22,1,1,9,505,338,199,0.0005
Without compositional treatment,Q,79,0.9382716049382716,0.926829268292683,0.95,0.8928571428571429,0.9264705882352942,0.9214285714285715,38,3,25,2,1,9,505,338,199,0.0005
Without compositional treatment,Combined,79,0.9090909090909091,0.8333333333333334,1.0,0.7142857142857143,0.8823529411764706,0.8571428571428572,40,8,20,0,1,9,505,338,199,0.0005
With CLR,T2,183,0.8974358974358975,0.9210526315789473,0.875,0.8928571428571429,0.8823529411764706,0.8839285714285714,35,3,25,5,1,9,505,338,199,0.0005
With CLR,Q,183,0.0,0.0,0.0,1.0,0.4117647058823529,0.5,0,0,28,40,1,9,505,338,199,0.0005
With CLR,Combined,183,0.9,0.9,0.9,0.8571428571428571,0.8823529411764706,0.8785714285714286,36,4,24,4,1,9,505,338,199,0.0005
Without compositional treatment,T2,81,0.9382716049382716,0.926829268292683,0.95,0.8928571428571429,0.9264705882352942,0.9214285714285715,38,3,25,2,2,9,505,338,199,0.0005
Without compositional treatment,Q,81,0.918918918918919,1.0,0.85,1.0,0.9117647058823529,0.925,34,0,28,6,2,9,505,338,199,0.0005
Without compositional treatment,Combined,81,0.9176470588235294,0.8666666666666667,0.975,0.7857142857142857,0.8970588235294118,0.8803571428571428,39,6,22,1,2,9,505,338,199,0.0005
With CLR,T2,184,0.975,0.975,0.975,0.9642857142857143,0.9705882352941176,0.9696428571428571,39,1,27,1,2,9,505,338,199,0.0005
With CLR,Q,184,0.0,0.0,0.0,1.0,0.4117647058823529,0.5,0,0,28,40,2,9,505,338,199,0.0005
With CLR,Combined,184,0.975609756097561,0.9523809523809523,1.0,0.9285714285714286,0.9705882352941176,0.9642857142857143,40,2,26,0,2,9,505,338,199,0.0005
Without compositional treatment,T2,82,0.8941176470588236,0.8444444444444444,0.95,0.75,0.8676470588235294,0.85,38,7,21,2,3,9,505,338,199,0.0005
Without compositional treatment,Q,82,0.9473684210526315,1.0,0.9,1.0,0.9411764705882353,0.95,36,0,28,4,3,9,505,338,199,0.0005
Without compositional treatment,Combined,82,0.896551724137931,0.8297872340425532,0.975,0.7142857142857143,0.8676470588235294,0.8446428571428571,39,8,20,1,3,9,505,338,199,0.0005
With CLR,T2,186,0.9487179487179487,0.9736842105263158,0.925,0.9642857142857143,0.9411764705882353,0.9446428571428571,37,1,27,3,3,9,505,338,199,0.0005
With CLR,Q,186,0.0,0.0,0.0,1.0,0.4117647058823529,0.5,0,0,28,40,3,9,505,338,199,0.0005
With CLR,Combined,186,0.95,0.95,0.95,0.9285714285714286,0.9411764705882353,0.9392857142857143,38,2,26,2,3,9,505,338,199,0.0005
Without compositional treatment,T2,78,0.926829268292683,0.9047619047619048,0.95,0.8518518518518519,0.9104477611940298,0.9009259259259259,38,4,23,2,4,9,505,338,199,0.0005
Without compositional treatment,Q,78,0.8947368421052632,0.9444444444444444,0.85,0.9259259259259259,0.8805970149253731,0.887962962962963,34,2,25,6,4,9,505,338,199,0.0005
Without compositional treatment,Combined,78,0.9156626506024096,0.8837209302325582,0.95,0.8148148148148148,0.8955223880597015,0.8824074074074073,38,5,22,2,4,9,505,338,199,0.0005
With CLR,T2,185,0.8648648648648649,0.9411764705882353,0.8,0.9259259259259259,0.8507462686567164,0.8629629629629629,32,2,25,8,4,9,505,338,199,0.0005
With CLR,Q,185,0.0,0.0,0.0,1.0,0.40298507462686567,0.5,0,0,27,40,4,9,505,338,199,0.0005
With CLR,Combined,185,0.868421052631579,0.9166666666666666,0.825,0.8888888888888888,0.8507462686567164,0.8569444444444444,33,3,24,7,4,9,505,338,199,0.0005
Without compositional treatment,T2,77,0.963855421686747,0.9302325581395349,1.0,0.8888888888888888,0.9552238805970149,0.9444444444444444,40,3,24,0,5,9,505,338,199,0.0005
Without compositional treatment,Q,77,0.9066666666666666,0.9714285714285714,0.85,0.9629629629629629,0.8955223880597015,0.9064814814814814,34,1,26,6,5,9,505,338,199,0.0005
Without compositional treatment,Combined,77,0.963855421686747,0.9302325581395349,1.0,0.8888888888888888,0.9552238805970149,0.9444444444444444,40,3,24,0,5,9,505,338,199,0.0005
With CLR,T2,183,0.9090909090909091,0.9459459459459459,0.875,0.9259259259259259,0.8955223880597015,0.900462962962963,35,2,25,5,5,9,505,338,199,0.0005
With CLR,Q,183,0.0,0.0,0.0,1.0,0.40298507462686567,0.5,0,0,27,40,5,9,505,338,199,0.0005
With CLR,Combined,183,0.9090909090909091,0.9459459459459459,0.875,0.9259259259259259,0.8955223880597015,0.900462962962963,35,2,25,5,5,9,505,338,199,0.0005
Without compositional treatment,T2,83,0.896551724137931,0.8297872340425532,0.975,0.7142857142857143,0.8676470588235294,0.8446428571428571,39,8,20,1,1,10,606,338,197,0.0005
Without compositional treatment,Q,83,0.868421052631579,0.9166666666666666,0.825,0.8928571428571429,0.8529411764705882,0.8589285714285715,33,3,25,7,1,10,606,338,197,0.0005
Without compositional treatment,Combined,83,0.896551724137931,0.8297872340425532,0.975,0.7142857142857143,0.8676470588235294,0.8446428571428571,39,8,20,1,1,10,606,338,197,0.0005
With CLR,T2,184,0.8055555555555556,0.90625,0.725,0.8928571428571429,0.7941176470588235,0.8089285714285714,29,3,25,11,1,10,606,338,197,0.0005
With CLR,Q,184,0.0,0.0,0.0,1.0,0.4117647058823529,0.5,0,0,28,40,1,10,606,338,197,0.0005
With CLR,Combined,184,0.8831168831168831,0.918918918918919,0.85,0.8928571428571429,0.8676470588235294,0.8714285714285714,34,3,25,6,1,10,606,338,197,0.0005
Without compositional treatment,T2,74,0.9135802469135802,0.9024390243902439,0.925,0.8571428571428571,0.8970588235294118,0.8910714285714285,37,4,24,3,2,10,606,338,197,0.0005
Without compositional treatment,Q,74,0.9041095890410958,1.0,0.825,1.0,0.8970588235294118,0.9125,33,0,28,7,2,10,606,338,197,0.0005
Without compositional treatment,Combined,74,0.9285714285714286,0.8863636363636364,0.975,0.8214285714285714,0.9117647058823529,0.8982142857142856,39,5,23,1,2,10,606,338,197,0.0005
With CLR,T2,186,0.8648648648648649,0.9411764705882353,0.8,0.9285714285714286,0.8529411764705882,0.8642857142857143,32,2,26,8,2,10,606,338,197,0.0005
With CLR,Q,186,0.0,0.0,0.0,1.0,0.4117647058823529,0.5,0,0,28,40,2,10,606,338,197,0.0005
With CLR,Combined,186,0.9090909090909091,0.9459459459459459,0.875,0.9285714285714286,0.8970588235294118,0.9017857142857143,35,2,26,5,2,10,606,338,197,0.0005
Without compositional treatment,T2,75,0.9195402298850575,0.851063829787234,1.0,0.75,0.8970588235294118,0.875,40,7,21,0,3,10,606,338,197,0.0005
Without compositional treatment,Q,75,0.935064935064935,0.972972972972973,0.9,0.9642857142857143,0.9264705882352942,0.9321428571428572,36,1,27,4,3,10,606,338,197,0.0005
Without compositional treatment,Combined,75,0.8888888888888888,0.8,1.0,0.6428571428571429,0.8529411764705882,0.8214285714285714,40,10,18,0,3,10,606,338,197,0.0005
With CLR,T2,185,0.8611111111111112,0.96875,0.775,0.9642857142857143,0.8529411764705882,0.8696428571428572,31,1,27,9,3,10,606,338,197,0.0005
With CLR,Q,185,0.0,0.0,0.0,1.0,0.4117647058823529,0.5,0,0,28,40,3,10,606,338,197,0.0005
With CLR,Combined,185,0.9090909090909091,0.9459459459459459,0.875,0.9285714285714286,0.8970588235294118,0.9017857142857143,35,2,26,5,3,10,606,338,197,0.0005
Without compositional treatment,T2,78,0.9285714285714286,0.8863636363636364,0.975,0.8148148148148148,0.9104477611940298,0.8949074074074074,39,5,22,1,4,10,606,338,197,0.0005
Without compositional treatment,Q,78,0.88,0.9428571428571428,0.825,0.9259259259259259,0.8656716417910447,0.8754629629629629,33,2,25,7,4,10,606,338,197,0.0005
Without compositional treatment,Combined,78,0.9411764705882353,0.8888888888888888,1.0,0.8148148148148148,0.9253731343283582,0.9074074074074074,40,5,22,0,4,10,606,338,197,0.0005
With CLR,T2,186,0.9090909090909091,0.9459459459459459,0.875,0.9259259259259259,0.8955223880597015,0.900462962962963,35,2,25,5,4,10,606,338,197,0.0005
With CLR,Q,186,0.0,0.0,0.0,1.0,0.40298507462686567,0.5,0,0,27,40,4,10,606,338,197,0.0005
With CLR,Combined,186,0.9230769230769231,0.9473684210526315,0.9,0.9259259259259259,0.9104477611940298,0.912962962962963,36,2,25,4,4,10,606,338,197,0.0005
Without compositional treatment,T2,75,0.975609756097561,0.9523809523809523,1.0,0.9259259259259259,0.9701492537313433,0.962962962962963,40,2,25,0,5,10,606,338,197,0.0005
Without compositional treatment,Q,75,0.8767123287671232,0.9696969696969697,0.8,0.9629629629629629,0.8656716417910447,0.8814814814814815,32,1,26,8,5,10,606,338,197,0.0005
Without compositional treatment,Combined,75,0.9523809523809523,0.9090909090909091,1.0,0.8518518518518519,0.9402985074626866,0.9259259259259259,40,4,23,0,5,10,606,338,197,0.0005
With CLR,T2,182,0.9090909090909091,0.9459459459459459,0.875,0.9259259259259259,0.8955223880597015,0.900462962962963,35,2,25,5,5,10,606,338,197,0.0005
With CLR,Q,182,0.0,0.0,0.0,1.0,0.40298507462686567,0.5,0,0,27,40,5,10,606,338,197,0.0005
With CLR,Combined,182,0.9230769230769231,0.9473684210526315,0.9,0.9259259259259259,0.9104477611940298,0.912962962962963,36,2,25,4,5,10,606,338,197,0.0005
