SampleID,Taxon,BHC,BHC percent within sample,Lifestyle,Index
37082_1#20,GGB82668,0.0007255368997796131,0.01966795471306875,Urban,Combined
37082_1#21,GGB82668,0.008605793262383738,0.1809901085457647,Urban,Combined
37082_1#22,GGB82668,0.025501297755786533,0.7995090468399529,Urban,Combined
37082_1#23,GGB82668,0.0016913005542699452,0.03393476807985591,Urban,Combined
37082_1#24,GGB82668,0.002132110922694734,0.07825334982325931,Urban,Combined
37082_1#25,GGB82668,0.0525232256409875,1.4843809933458811,Urban,Combined
37082_1#26,GGB82668,0.0031513357264155092,0.06596819702111296,Urban,Combined
37082_1#27,GGB82668,0.0005200184895341086,0.01407485109090052,Urban,Combined
37082_1#28,GGB82668,0.0005585763728297877,0.017273919387873517,Urban,Combined
37082_1#29,GGB82668,0.007886803465836194,0.25483093567911047,Urban,Combined
37082_1#30,GGB82668,0.018077747064750294,0.33496774003980356,Urban,Combined
37082_1#31,GGB82668,0.006043005038532559,0.09601014301319287,Urban,Combined
37082_1#32,GGB82668,0.009157001638975669,0.37272723972399907,Urban,Combined
37082_1#9,GGB82668,0.03478164182548892,1.118343268476622,Urban,Combined
37082_2#10,GGB82668,0.0010748307596583904,0.033744195858648546,Urban,Combined
37082_2#11,GGB82668,0.0076214525366291854,0.2959207843152246,Urban,Combined
37082_2#12,GGB82668,3.092267679934058e-07,7.653974070436516e-06,Urban,Combined
37082_2#13,GGB82668,0.003970453404241842,0.12088302223039701,Urban,Combined
37082_2#14,GGB82668,0.009143854306885416,0.36206923459793144,Urban,Combined
37082_2#15,GGB82668,0.026983857654814418,0.9141656775356182,Urban,Combined
37082_2#16,GGB82668,0.0007759569176548474,0.05418754958841564,Rural,Combined
37082_2#17,GGB82668,0.0014126272451713783,0.14022693030339095,Rural,Combined
37082_2#18,GGB82668,0.0004375305207619687,0.030980902130333023,Rural,Combined
37082_2#19,GGB82668,0.002335250916949976,0.12042972612799939,Rural,Combined
37082_2#1,GGB82668,0.008666599789594064,0.20323632421576596,Urban,Combined
37082_2#20,GGB82668,0.015548506675965041,0.5767498617993608,Rural,Combined
37082_2#21,GGB82668,0.013668880740389815,0.7789888221245678,Rural,Combined
37082_2#22,GGB82668,0.01118783410421988,1.4392677391837982,Rural,Combined
37082_2#23,GGB82668,0.007538530263394711,0.26863624815149423,Rural,Combined
37082_2#24,GGB82668,0.006728422965300332,0.38932305205400436,Rural,Combined
37082_2#25,GGB82668,0.0060975653623373096,0.43995813169516745,Rural,Combined
37082_2#26,GGB82668,0.0001435021807909811,0.010051455157707999,Rural,Combined
37082_2#27,GGB82668,0.011831681423847974,0.7439077260930089,Rural,Combined
37082_2#28,GGB82668,0.011978275313613493,0.516000732693362,Rural,Combined
37082_2#29,GGB82668,0.014548337764483924,0.7976481098359134,Rural,Combined
37082_2#2,GGB82668,0.004565752888523632,0.18207099014707614,Urban,Combined
37082_2#30,GGB82668,0.0029452763248950463,0.17838304191921778,Rural,Combined
37082_2#31,GGB82668,0.0014766458721986644,0.10574648002884951,Rural,Combined
37082_2#32,GGB82668,0.02029515876616295,1.0550959153052704,Rural,Combined
37082_2#3,GGB82668,2.3532161992023895e-05,0.00077656217505971,Urban,Combined
37082_2#5,GGB82668,0.004953318305597779,0.23186460394545738,Urban,Combined
37082_2#6,GGB82668,0.03371949361285877,0.6933179265845634,Urban,Combined
37082_2#7,GGB82668,0.0007651502189042925,0.029952627775708316,Urban,Combined
37082_2#8,GGB82668,0.0006122677374361842,0.012977438383347922,Urban,Combined
37082_2#9,GGB82668,0.004203779069151285,0.11744731164057488,Urban,Combined
37082_3#10,GGB82668,0.002244726670706542,0.11407912654523866,Rural,Combined
37082_3#11,GGB82668,0.020615033679019918,0.7838268569430835,Rural,Combined
37082_3#12,GGB82668,0.08519738135601553,4.523268238754039,Rural,Combined
37082_3#13,GGB82668,0.042739373311103744,1.9709003610299851,Rural,Combined
37082_3#14,GGB82668,0.0004920203230468242,0.02170138602501085,Rural,Combined
37082_3#15,GGB82668,0.0031921444206777947,0.25005811511416265,Rural,Combined
37082_3#17,GGB82668,0.03310533267282439,2.2767794178731813,Rural,Combined
37082_3#19,GGB82668,0.047069732179220114,2.941366113582226,Rural,Combined
37082_3#1,GGB82668,0.01552556988801789,0.7892194333811566,Rural,Combined
37082_3#20,GGB82668,0.020890395133372007,1.3032076721646035,Rural,Combined
37082_3#21,GGB82668,0.018245226657017888,0.9015467337132719,Rural,Combined
37082_3#22,GGB82668,0.0005932235103464281,0.05007953952796844,Rural,Combined
37082_3#23,GGB82668,0.00035903296473634573,0.027928122728550723,Rural,Combined
37082_3#24,GGB82668,0.004576757157544063,0.2587392409596236,Rural,Combined
37082_3#25,GGB82668,0.015653934364678775,0.6470005070053925,Rural,Combined
37082_3#26,GGB82668,0.002742210634345441,0.14070308152586605,Rural,Combined
37082_3#27,GGB82668,4.5373210647049026e-05,0.003956847879839334,Rural,Combined
37082_3#28,GGB82668,0.0039632925495075855,0.16339964238675475,Rural,Combined
37082_3#29,GGB82668,0.0020643389754243994,0.23734576323616421,Rural,Combined
37082_3#2,GGB82668,0.00679622030167971,0.32418956924685643,Rural,Combined
37082_3#30,GGB82668,0.008582793458359356,0.4407676115091773,Rural,Combined
37082_3#31,GGB82668,0.005024715214037786,0.36227111466211914,Rural,Combined
37082_3#32,GGB82668,0.006291494353395726,0.23109421544584915,Rural,Combined
37082_3#3,GGB82668,0.03548631173882645,2.7842565824271124,Rural,Combined
37082_3#4,GGB82668,0.011499780534130413,0.4235404955879876,Rural,Combined
37082_3#5,GGB82668,0.004848650945181576,0.14281809648825625,Rural,Combined
37082_3#6,GGB82668,0.004175029632803337,0.13111350243012312,Rural,Combined
37082_3#7,GGB82668,1.5361889792013423e-05,0.0010097742089435274,Rural,Combined
37082_3#8,GGB82668,0.017201113948466202,1.585919556887336,Rural,Combined
37082_3#9,GGB82668,0.0021316080394619924,0.13363997989733906,Rural,Combined
36703_3#10,GGB4584,0.018578490042714717,0.6058883618697918,Urban,Combined
36703_3#12,GGB4584,0.062375145806733485,3.067514764523015,Rural,Combined
36703_3#13,GGB4584,0.009400282252553167,0.3075830140107684,Rural,Combined
36703_3#14,GGB4584,0.003700007734154173,0.11888184726017702,Rural,Combined
36703_3#15,GGB4584,0.001740891548734716,0.06308139709990206,Rural,Combined
36703_3#16,GGB4584,0.0036926313161094898,0.19795433607798169,Rural,Combined
36703_3#17,GGB4584,0.0032133216651316033,0.2538758862639556,Rural,Combined
36703_3#18,GGB4584,0.0009341845016184317,0.03631369628520718,Rural,Combined
36703_3#19,GGB4584,0.01300410086273167,0.5121060032851793,Rural,Combined
36703_3#1,GGB4584,7.27877081796092e-05,0.0015955565737312087,Urban,Combined
36703_3#21,GGB4584,0.031677098216461086,1.696684300336523,Rural,Combined
36703_3#22,GGB4584,0.00959468440662977,0.7225275523038395,Rural,Combined
36703_3#23,GGB4584,0.002063772442774442,0.12759862708446196,Rural,Combined
36703_3#24,GGB4584,0.03739738373035207,2.6971008885344987,Rural,Combined
36703_3#25,GGB4584,0.019050729347431558,1.1240488494642966,Rural,Combined
36703_3#26,GGB4584,0.0017130264513113317,0.07626252357789301,Rural,Combined
36703_3#27,GGB4584,0.013735227247595877,0.9268532974467045,Rural,Combined
36703_3#28,GGB4584,0.014887653967377477,0.8884321839702154,Rural,Combined
36703_3#29,GGB4584,0.0017852592859764471,0.1374199649191914,Rural,Combined
36703_3#2,GGB4584,0.004695575649421279,0.15148929837699493,Urban,Combined
36703_3#30,GGB4584,0.02230567076350878,1.5267487677367055,Rural,Combined
36703_3#31,GGB4584,0.02270443923722332,1.660681892895494,Rural,Combined
36703_3#32,GGB4584,0.055485910804009324,3.455131578106819,Rural,Combined
36703_3#3,GGB4584,0.015757855696770084,0.3609203260216048,Urban,Combined
36703_3#5,GGB4584,0.009234366651574745,0.4054253329106245,Urban,Combined
36703_3#6,GGB4584,5.087580321979856e-07,3.4797988559598105e-05,Urban,Combined
36703_3#7,GGB4584,0.0005498631632254963,0.010335680447511708,Urban,Combined
36703_3#8,GGB4584,0.050584224886485216,1.0020431603831748,Urban,Combined
36703_3#9,GGB4584,0.004188784732923976,0.09613640101980439,Urban,Combined
37035_1#10,GGB4584,0.004948212139767503,0.4332374901576284,Rural,Combined
37035_1#11,GGB4584,0.015688313292955367,1.1720496296548706,Rural,Combined
37035_1#12,GGB4584,0.01089012636804945,0.789923040267409,Rural,Combined
37035_1#13,GGB4584,0.022846952524814505,2.575823576483166,Rural,Combined
37035_1#14,GGB4584,0.0005432682389485558,0.04074875840419509,Rural,Combined
37035_1#15,GGB4584,4.475055378433313e-05,0.0017719372562253592,Rural,Combined
37035_1#16,GGB4584,4.961724635910446e-05,0.0042450097622283856,Rural,Combined
37035_1#17,GGB4584,0.001183529373460259,0.12543726614957076,Rural,Combined
37035_1#18,GGB4584,0.005865544023794309,0.349256352947536,Rural,Combined
37035_1#1,GGB4584,0.008120668243435679,0.34770306841280824,Rural,Combined
37035_1#20,GGB4584,0.0071191968647679755,0.4700775047807527,Rural,Combined
37035_1#21,GGB4584,0.012963234553311135,0.5298101017121999,Rural,Combined
37035_1#22,GGB4584,0.013684099443315173,0.43715794457511736,Rural,Combined
37035_1#23,GGB4584,0.0009988302806092212,0.05844458263720392,Rural,Combined
37035_1#24,GGB4584,0.0005880876944800487,0.028626373231988956,Rural,Combined
37035_1#25,GGB4584,0.005400193135719109,0.4380162035317158,Rural,Combined
37035_1#26,GGB4584,0.0045018333177206426,0.38277271693493053,Rural,Combined
37035_1#27,GGB4584,0.0008071668243468543,0.06588615945534393,Rural,Combined
37035_1#29,GGB4584,0.009935342441609284,0.28303988109084904,Urban,Combined
37035_1#2,GGB4584,0.03786864899527497,1.4776887874902636,Rural,Combined
37035_1#30,GGB4584,2.0446231337320264e-08,6.467637626372801e-07,Urban,Combined
37035_1#31,GGB4584,0.008803736382849685,0.2666182896711813,Urban,Combined
37035_1#32,GGB4584,0.0002522033667160076,0.012549884723475166,Urban,Combined
37035_1#3,GGB4584,0.00020804150004015567,0.006678896505117234,Rural,Combined
37035_1#4,GGB4584,0.06259192430288173,2.9089788392571183,Rural,Combined
37035_1#5,GGB4584,0.02557544554807135,1.4583526215320088,Rural,Combined
37035_1#6,GGB4584,0.12944591967796137,4.664595968137857,Rural,Combined
37035_1#7,GGB4584,0.014033306414876413,1.426425659406889,Rural,Combined
37035_1#8,GGB4584,0.011406131755949026,0.3186690035566372,Rural,Combined
37035_1#9,GGB4584,0.00044758169534411726,0.016692057087990847,Rural,Combined
37035_2#10,GGB4584,0.005964489293507607,0.14031802923207584,Urban,Combined
37035_2#11,GGB4584,0.01396949462505752,0.4107352401532128,Urban,Combined
37035_2#12,GGB4584,0.03422704313012527,1.0475971158458488,Urban,Combined
37035_2#13,GGB4584,0.023164402479397363,0.6170358233352922,Urban,Combined
37035_2#14,GGB4584,0.001178674342772791,0.04444407660460703,Urban,Combined
37035_2#15,GGB4584,0.016239015050041158,0.27574397381866816,Urban,Combined
37035_2#16,GGB4584,0.00017183942605544295,0.0035674680895808226,Urban,Combined
37035_2#17,GGB4584,0.006003153524893843,0.14230068160462722,Urban,Combined
37035_2#18,GGB4584,0.0025161404295402437,0.051962624954834336,Urban,Combined
37035_2#19,GGB4584,0.0006029104497780738,0.012206393144710488,Urban,Combined
37035_2#1,GGB4584,0.014408911104622632,0.2851242107237911,Urban,Combined
37035_2#20,GGB4584,0.0019446732832571248,0.03839999192497178,Urban,Combined
37035_2#21,GGB4584,0.005716331935269942,0.22339246748285632,Urban,Combined
37035_2#23,GGB4584,0.0006561479953046116,0.0179663505052243,Urban,Combined
37035_2#24,GGB4584,0.0036303710102248573,0.15072084997252838,Urban,Combined
37035_2#25,GGB4584,0.04189885095150101,0.9789381328647196,Urban,Combined
