number,value,datetime_start,datetime_complete,duration,params_algorithm,params_filter_criteria,params_filter_threshold,params_k,state
155,0.36609965204368505,2025-03-03 19:26:53.843733,2025-03-03 19:26:54.020976,0 days 00:00:00.177243,gaussian_mixture,abundance,1.6500000000000001,2,COMPLETE
156,0.3547924543783006,2025-03-03 19:26:54.021975,2025-03-03 19:26:54.197084,0 days 00:00:00.175109,gaussian_mixture,abundance,1.9500000000000002,2,COMPLETE
157,0.1499234463698796,2025-03-03 19:26:54.198084,2025-03-03 19:26:54.375185,0 days 00:00:00.177101,gaussian_mixture,abundance,1.7000000000000002,2,COMPLETE
158,0.23175976322568648,2025-03-03 19:26:54.376175,2025-03-03 19:26:54.553291,0 days 00:00:00.177116,gaussian_mixture,abundance,2.4000000000000004,2,COMPLETE
159,0.492332886335847,2025-03-03 19:26:54.554287,2025-03-03 19:26:54.728868,0 days 00:00:00.174581,gaussian_mixture,abundance,2.2,2,COMPLETE
160,0.015685070429449346,2025-03-03 19:26:54.729868,2025-03-03 19:26:56.031518,0 days 00:00:01.301650,gaussian_mixture,presence,10.0,2,COMPLETE
161,0.4628160659482381,2025-03-03 19:26:56.031518,2025-03-03 19:26:56.213638,0 days 00:00:00.182120,gaussian_mixture,abundance,1.85,2,COMPLETE
162,0.5222010926813007,2025-03-03 19:26:56.214904,2025-03-03 19:26:56.392693,0 days 00:00:00.177789,gaussian_mixture,abundance,1.75,2,COMPLETE
163,0.28592166465390173,2025-03-03 19:26:56.393716,2025-03-03 19:26:56.572770,0 days 00:00:00.179054,gaussian_mixture,abundance,2.0500000000000003,2,COMPLETE
164,0.40993646543122786,2025-03-03 19:26:56.573773,2025-03-03 19:26:56.752783,0 days 00:00:00.179010,gaussian_mixture,abundance,1.6,2,COMPLETE
165,0.667542216662825,2025-03-03 19:26:56.753793,2025-03-03 19:26:56.957468,0 days 00:00:00.203675,gaussian_mixture,abundance,1.85,2,COMPLETE
