number,value,datetime_start,datetime_complete,duration,params_algorithm,params_filter_criteria,params_filter_threshold,params_k,state
51,0.6108537439591791,2024-12-18 23:47:57.637349,2024-12-18 23:47:57.739366,0 days 00:00:00.102017,kmeans,abundance,2.3000000000000003,9,COMPLETE
52,0.497317046457652,2024-12-18 23:47:57.740694,2024-12-18 23:47:57.844860,0 days 00:00:00.104166,kmeans,abundance,2.4000000000000004,10,COMPLETE
53,0.5296645433022377,2024-12-18 23:47:57.846137,2024-12-18 23:47:57.949427,0 days 00:00:00.103290,kmeans,abundance,2.1,9,COMPLETE
54,0.5829575438189037,2024-12-18 23:47:57.950749,2024-12-18 23:47:58.063107,0 days 00:00:00.112358,kmeans,abundance,1.3,8,COMPLETE
55,0.5154862614076002,2024-12-18 23:47:58.064436,2024-12-18 23:47:58.169404,0 days 00:00:00.104968,kmeans,abundance,2.4000000000000004,9,COMPLETE
56,0.6114062694839534,2024-12-18 23:47:58.170484,2024-12-18 23:47:58.274361,0 days 00:00:00.103877,kmeans,abundance,1.8,10,COMPLETE
57,0.5347072051854093,2024-12-18 23:47:58.275706,2024-12-18 23:47:58.378813,0 days 00:00:00.103107,kmeans,abundance,2.2,7,COMPLETE
58,0.1472014328536947,2024-12-18 23:47:58.380164,2024-12-18 23:47:59.153086,0 days 00:00:00.772922,kmeans,abundance,0.0,8,COMPLETE
59,0.5390624749856231,2024-12-18 23:47:59.154359,2024-12-18 23:47:59.270717,0 days 00:00:00.116358,kmeans,abundance,1.2000000000000002,10,COMPLETE
60,0.461329422263276,2024-12-18 23:47:59.272084,2024-12-18 23:47:59.377235,0 days 00:00:00.105151,kmeans,abundance,1.6,9,COMPLETE
61,0.5695183386981174,2024-12-18 23:47:59.378592,2024-12-18 23:47:59.483058,0 days 00:00:00.104466,kmeans,abundance,1.9000000000000001,10,COMPLETE
62,0.6462654948658183,2024-12-18 23:47:59.484378,2024-12-18 23:47:59.589558,0 days 00:00:00.105180,kmeans,abundance,1.8,10,COMPLETE
63,0.5383666529431639,2024-12-18 23:47:59.590831,2024-12-18 23:47:59.697885,0 days 00:00:00.107054,kmeans,abundance,1.7000000000000002,10,COMPLETE
64,0.6361509577117527,2024-12-18 23:47:59.699222,2024-12-18 23:47:59.806351,0 days 00:00:00.107129,kmeans,abundance,1.5,9,COMPLETE
65,0.5975303831929454,2024-12-18 23:47:59.807618,2024-12-18 23:47:59.913920,0 days 00:00:00.106302,kmeans,abundance,1.5,9,COMPLETE
66,0.5326494051099514,2024-12-18 23:47:59.915263,2024-12-18 23:48:00.024747,0 days 00:00:00.109484,kmeans,abundance,1.4000000000000001,6,COMPLETE
67,0.5911712022396983,2024-12-18 23:48:00.026118,2024-12-18 23:48:00.132865,0 days 00:00:00.106747,kmeans,abundance,1.5,10,COMPLETE
68,0.5359142136799792,2024-12-18 23:48:00.134225,2024-12-18 23:48:00.245000,0 days 00:00:00.110775,kmeans,abundance,1.8,9,COMPLETE
69,0.6229830440952304,2024-12-18 23:48:00.246315,2024-12-18 23:48:00.350839,0 days 00:00:00.104524,kmeans,abundance,1.8,8,COMPLETE
70,0.5779957564883219,2024-12-18 23:48:00.352188,2024-12-18 23:48:00.464229,0 days 00:00:00.112041,kmeans,abundance,1.6,10,COMPLETE
71,0.6293169933592636,2024-12-18 23:48:00.465306,2024-12-18 23:48:00.578383,0 days 00:00:00.113077,kmeans,abundance,1.8,8,COMPLETE
72,0.4857375844251833,2024-12-18 23:48:00.579697,2024-12-18 23:48:00.687149,0 days 00:00:00.107452,kmeans,abundance,2.0,7,COMPLETE
73,0.5909900830039209,2024-12-18 23:48:00.688444,2024-12-18 23:48:00.794696,0 days 00:00:00.106252,kmeans,abundance,1.7000000000000002,8,COMPLETE
74,0.4877601744711153,2024-12-18 23:48:00.796028,2024-12-18 23:48:00.907264,0 days 00:00:00.111236,kmeans,abundance,1.4000000000000001,7,COMPLETE
75,0.606965878813455,2024-12-18 23:48:00.908572,2024-12-18 23:48:01.018981,0 days 00:00:00.110409,kmeans,abundance,1.5,9,COMPLETE
76,0.5464011141258578,2024-12-18 23:48:01.020458,2024-12-18 23:48:01.128918,0 days 00:00:00.108460,kmeans,abundance,1.3,10,COMPLETE
77,0.5854696314822073,2024-12-18 23:48:01.130222,2024-12-18 23:48:01.237302,0 days 00:00:00.107080,kmeans,abundance,2.1,8,COMPLETE
