,Feature,Importance,Specie,abundance
18,2849865,0.0013470757265509308,Clostridium sp. CM027,33135.0
197,1536771,0.0013426170519612183,Paenibacillus sp. FSL R5-0912,6694.0
2045,2653857,0.0013340634991058534,Amycolatopsis sp. YIM 10,3801.0
47,1734049,0.001331090943830755,Serpentinicella alkaliphila,24477.0
5887,1763828,0.00132840466276712,Hankyongella ginsenosidimutans,2922.0
4955,85698,0.0013255557247259441,Achromobacter xylosoxidans,20808.0
5774,2937787,0.0013096205646444647,Sphingomonas sp. SUN039,2056.0
884,1868793,0.0012899101228915396,Jeotgalibaca porci,7497.0
4035,1516159,0.0012846042240517133,Vibrio coralliirubri,490.0
4205,90736,0.0012817167531404394,Moritella marina,1387.0
505,2729421,0.0012688444116355422,Sediminibacillus dalangtanensis,5818.0
296,486398,0.001251155925634824,Bacillus sp. S3,8526.0
6360,449520,0.001250519902367465,Campylobacter canadensis,3969.0
1037,1792,0.0012484185045472374,Mycolicibacterium chitae,1710.0
969,1682113,0.0012478018900262246,Mycobacterium sp. YC-RL4,1473.0
5801,1176646,0.0012431580199904811,Sphingomonas daechungensis,1423.0
3850,56459,0.0012246209669331829,Xanthomonas vasicola,1203.0
3873,2820808,0.0012135003113185143,Lysobacter sp. K5869,1502.0
1086,1979527,0.0012128311317214755,Corynebacterium kefirresidentii,3398.0
1872,1442032,0.0012087063644666033,Streptomyces dangxiongensis,1534.0
1589,2509457,0.001190577539035906,Xylanimonas protaetiae,2717.0
964,560555,0.001173850850157054,Mycobacterium mantenii,1559.0
6011,1663591,0.0011599579630959872,Magnetospirillum sp. XM-1,3385.0
1877,1827580,0.0011592327984964006,Streptomyces nigra,1562.0
1801,436397,0.0011567852538847498,Streptomyces sudanensis,1364.0
43,1041504,0.0011551443031547297,Candidatus Arthromitus sp. SFB-rat-Yit,21880.0
3678,3016341,0.0011551389262561228,Pseudomonas sp. PSE14,1452.0
862,2925838,0.001153298487079071,Vagococcus sp. CY52-2,9985.0
4045,74109,0.0011428866881438183,Photobacterium profundum,2460.0
4595,45067,0.0011427246523969287,Legionella lansingensis,1358.0
2186,53522,0.001134380901929143,Thermobifida alba,2304.0
5339,1325090,0.0011265168608713654,Bradyrhizobium guangdongense,1687.0
6207,2798577,0.0011237841027665217,Breznakiella homolactica,7128.0
6684,248039,0.0011222564349758367,Mucispirillum schaedleri,9002.0
6696,453816,0.0011091598316244609,Pseudobdellovibrio exovorus,1262.0
795,33962,0.0011074591300677652,Lentilactobacillus kefiri,2519.0
2083,43357,0.0011035121817907806,Kutzneria albida,4027.0
7254,2750025,0.0011018771902193175,Streptomyces sp. CB00271,558.0
2321,317936,0.0011012101669063978,Nostoc sp. PCC 7107,1393.0
3733,2745503,0.0010978921407179894,Pseudomonas iranensis,741.0
5159,1682490,0.001078061294960812,Ferrigenium kumadai,1480.0
303,98228,0.0010744259607534644,Bacillus sp. OxB-1,4923.0
5602,1529068,0.0010617270149693603,Paracoccus tegillarcae,1884.0
4265,114186,0.0010615361983620966,Candidatus Carsonella ruddii,2976.0
1608,2779775,0.0010607608807591763,Ruania alkalisoli,2013.0
7239,2003551,0.0010598664347060006,Cellulomonas sp. PSBB021,2626.0
735,147802,0.0010568358377979214,Lactobacillus iners,21331.0
2747,1574269,0.0010451680037448696,Polaribacter undariae,4053.0
399,3047871,0.0010398790780337926,Neobacillus sp. DY30,10114.0
3243,2976335,0.0010250781872996355,Chlorobaculum sp. MV4-Y,6817.0
2256,2884263,0.001018798922844707,Aquihabitans sp. Kera 3,4144.0
2229,131568,0.001016235674118501,Kineococcus radiotolerans,2641.0
8083,1408204,0.0010122780191664262,Endomicrobium Candidatus Endomicrobium trichonymphae,2804.0
7072,2695882,0.0010037089493687655,Lactobacillus sp. 3B(2020),1845.0
2541,2124,0.0010024041213508876,Metamycoplasma salivarium,18758.0
4353,756892,0.0009928211414812359,Acinetobacter indicus,5462.0
2402,2931930,0.0009911247393849878,Kovacikia minuta,4603.0
2038,117157,0.0009867220904764757,Actinopolymorpha singaporensis,3605.0
2161,624315,0.0009813510035099368,Phytohabitans suffuscus,5277.0
5063,1196083,0.0009678231794693648,Snodgrassella alvi,22411.0
5957,431306,0.000955382422772692,Acetobacter ghanensis,2613.0
6204,273376,0.0009471697425049237,Sphaerochaeta coccoides,4580.0
41,208226,0.0009410091906741742,Alkaliphilus metalliredigens,19771.0
1923,2733571,0.0009293062964383557,Trueperella pecoris,4689.0
2520,324078,0.0009245633858982539,Mesoplasma coleopterae,6208.0
7684,166935,0.000923928072601192,Pseudoalteromonas translucida,1223.0
5258,380,0.000909536173369768,Sinorhizobium fredii,9615.0
1171,480035,0.0009077717289281027,Nocardia wallacei,5239.0
604,2762563,0.0009076769438569545,Sporosarcina sp. resist,4878.0
501,1449,0.0009021948991294097,Amphibacillus xylanus,9255.0
8377,1612551,0.0009017540992799567,Actinoalloteichus sp. GBA129-24,1108.0
5890,2502843,0.0008957169122297404,Erythrobacter sp. HKB08,1164.0
1933,999183,0.0008938951363289925,Arcanobacterium canis,2172.0
119,2983842,0.0008911002128767752,Thermoanaerobacter sp. RKWS2,7101.0
7297,284035,0.0008777358216202938,Streptomyces lienomycini,1856.0
9060,2937790,0.0008776685704116468,Halomonas sp. ZZQ-149,332.0
3073,316068,0.0008746028294714104,Leadbetterella byssophila,6948.0
2457,2967302,0.0008738719827689101,Mycoplasma sp. 1018B,4449.0
7846,774,0.0008681367285557958,Bartonella bacilliformis,1422.0
5573,1940610,0.0008514785585242942,Phreatobacter stygius,3763.0
2092,40988,0.0008510501613192424,Saccharomonospora azurea,2072.0
7914,246273,0.0008481013879854612,Wolbachia endosymbiont of Cimex lectularius,578.0
2569,317577,0.0008416058309750727,Deinococcus ficus,3821.0
8566,1514074,0.000837958530518046,Pseudoalteromonas sp. NC201,268.0
5840,1609758,0.0008321462659169268,Novosphingobium sp. P6W,2662.0
6203,1129264,0.0008195118577572115,Sphaerochaeta associata,6749.0
5020,2753607,0.0007990277653422579,Rhizobacter sp. AJA081-3,3231.0
6573,2527982,0.0007985932096167836,Mucisphaera calidilacus,2839.0
1026,39695,0.000791229181085897,Mycolicibacterium tokaiense,2006.0
6071,2201350,0.0007912225979535565,Phenylobacterium parvum,2679.0
3717,1785161,0.0007909551138081374,Pseudomonas wadenswilerensis,628.0
7890,2867014,0.0007875285978292562,Leisingera sp. M527,548.0
1876,1690221,0.0007798916916060995,Streptomyces spongiicola,1643.0
1535,2654191,0.0007750633620195291,Cellulomonas sp. JZ18,3889.0
5295,3039159,0.0007683121239462196,Bradyrhizobium sp. CB82,2589.0
242,2565926,0.0007679839456622415,Paenibacillus algicola,8187.0
7415,313590,0.0007612661735190628,Dokdonia sp. MED134,1726.0
1099,108486,0.0007538113751615333,Corynebacterium falsenii,4225.0
8406,2870840,0.0007481701643338833,Pseudomonas sp. DR208,225.0
1597,1288636,0.0007472586381143335,Ornithinimicrobium flavum,2547.0
6693,2220073,0.0007329175826443352,Bdellovibrio sp. NC01,1020.0
6740,2257,0.0007320856216029081,Natronomonas pharaonis,537.0
6750,869886,0.0007193773668228584,Halosimplex pelagicum,996.0
6663,2051959,0.0007089924469146359,Edaphobacter lichenicola,2516.0
298,1705566,0.0007013525498040094,Bacillus sp. FJAT-18017,7524.0
1641,1849967,0.0006930148837008104,Streptomyces sp. SAT1,2539.0
5673,2867025,0.0006902620760534432,Sulfitobacter sp. W027,1818.0
1259,396015,0.0006803816425826626,Rothia terrae,4953.0
4274,2071621,0.0006742146234956768,Marinomonas sp. FW-1,1002.0
357,2487276,0.0006567290611221549,Bacillus cabrialesii,2182.0
3697,651740,0.0006561689288171188,Pseudomonas cedrina,657.0
587,192421,0.000652791523472466,Planococcus maritimus,6779.0
5650,564137,0.0006341170244480181,Roseicitreum antarcticum,1661.0
4464,585455,0.00061312678097326,Thiohalobacter thiocyanaticus,1824.0
639,33987,0.0006053248438198451,Exiguobacterium aurantiacum,2897.0
2515,216933,0.0006019014844214723,Spiroplasma chrysopicola,14499.0
6878,39441,0.0006015079680494376,Methanobrevibacter arboriphilus,6551.0
8636,2810535,0.00059777883734566,Microbacterium neungamense,1999.0
75,36854,0.0005894840904988876,Desulfitobacterium dehalogenans,7712.0
5623,1915078,0.0005860505240473449,Thioclava nitratireducens,3708.0
2031,546871,0.0005846952703601743,Friedmanniella luteola,3903.0
333,1890302,0.0005717866867993116,Bacillus wiedmannii,6087.0
1369,2909587,0.0005703270991426876,Microbacterium sp. KUDC0405,2065.0
8653,2594457,0.0005672893053284329,Streptomyces sp. RLB3-6,1305.0
796,1588,0.0005665378170086763,Lentilactobacillus hilgardii,9758.0
2979,2583851,0.0005630213386377315,Elizabethkingia sp. JS20170427COW,3811.0
7137,292462,0.0005594549765253817,Mycobacterium florentinum,951.0
1946,33010,0.0005566305582176931,Cutibacterium avidum,7242.0
4730,296591,0.0005497819482827459,Polaromonas sp. JS666,4123.0
7530,367190,0.0005380144062723289,Yersinia similis,1582.0
6117,1925548,0.0005373829334258443,Candidatus Fonsibacter ubiquis,3442.0
439,152268,0.000532823869630588,Metabacillus litoralis,16335.0
5540,2170729,0.0005321740990776839,Methyloceanibacter sp. wino2,2184.0
2705,55197,0.0005278727118134257,Flavobacterium branchiophilum,3181.0
34,2599308,0.0005259442202710181,Crassaminicella thermophila,41481.0
8039,2984142,0.0005174575321026327,Campylobacter sp. CS_NA3,1325.0
2081,37331,0.0004936557416162852,Pseudonocardia petroleophila,3088.0
7981,2940488,0.0004817559479778893,Acidovorax sp. NCPPB 3576,1285.0
635,273528,0.00048092249783182514,Exiguobacterium marinum,2537.0
7304,1940,0.0004662119950020824,Streptomyces albireticuli,933.0
2553,2737050,0.0004606480657626904,Deinococcus sp. TS-293,2698.0
7925,391036,0.0004550325199742159,Ehrlichia sp. HF,1187.0
1979,2884264,0.0004523088262437706,Nocardioides sp. Kera G14,2308.0
5178,1914471,0.00044759444414272254,Sulfuritortus calidifontis,3741.0
5236,1176649,0.00044306702766592,Agrobacterium fabrum,4108.0
2665,935222,0.00043548034138157413,Flavobacterium sp. Sr18,3090.0
1078,2055947,0.00043417189425280675,Corynebacterium heidelbergense,3131.0
1216,191292,0.00042912744376085886,Rhodococcus aetherivorans,1878.0
3273,753,0.00041854485914281345,Pasteurella canis,5627.0
3303,1443036,0.00041464908208824794,Vespertiliibacter pulmonis,1951.0
2858,2058135,0.00041315221964187285,Olleya sp. Bg11-27,2568.0
6386,544718,0.0004119217868075833,Aliarcobacter thereius,6711.0
8664,488730,0.00041075785571729855,Burkholderia arboris,143.0
6817,2878680,0.00040867725660317965,Natrinema sp. DC36,599.0
2816,2686363,0.00040560826520402076,Formosa sp. L2A11,8436.0
2801,616991,0.00040145262573308775,Arenibacter algicola,5325.0
3555,2042057,0.0004004588793662393,Pectobacterium polaris,1886.0
5858,2976533,0.0003989855586824553,Sphingopyxis sp. PET50,1677.0
