number,value,datetime_start,datetime_complete,duration,params_algorithm,params_filter_criteria,params_filter_threshold,params_k,state
61,0.18855906340258052,2024-12-18 23:39:45.318603,2024-12-18 23:39:45.832483,0 days 00:00:00.513880,kmeans,presence,90,7,COMPLETE
62,0.1498340235249721,2024-12-18 23:39:45.833775,2024-12-18 23:39:46.381616,0 days 00:00:00.547841,kmeans,presence,50,6,COMPLETE
63,0.11827477068695684,2024-12-18 23:39:46.382918,2024-12-18 23:39:46.941655,0 days 00:00:00.558737,kmeans,presence,75,8,COMPLETE
64,0.12725557071076707,2024-12-18 23:39:46.942989,2024-12-18 23:39:47.558798,0 days 00:00:00.615809,kmeans,presence,35,5,COMPLETE
65,0.15799592440103757,2024-12-18 23:39:47.560284,2024-12-18 23:39:48.055262,0 days 00:00:00.494978,kmeans,presence,100,2,COMPLETE
66,0.1798444024493754,2024-12-18 23:39:48.056411,2024-12-18 23:39:48.623386,0 days 00:00:00.566975,kmeans,presence,45,6,COMPLETE
67,0.11349707287548756,2024-12-18 23:39:48.624610,2024-12-18 23:39:49.250126,0 days 00:00:00.625516,kmeans,presence,25,3,COMPLETE
68,0.172407057672152,2024-12-18 23:39:49.251475,2024-12-18 23:39:49.839292,0 days 00:00:00.587817,kmeans,presence,55,8,COMPLETE
69,0.13724736999876355,2024-12-18 23:39:49.840552,2024-12-18 23:39:50.391887,0 days 00:00:00.551335,kmeans,presence,65,7,COMPLETE
70,0.18938042541057987,2024-12-18 23:39:50.393250,2024-12-18 23:39:50.985337,0 days 00:00:00.592087,kmeans,presence,40,6,COMPLETE
71,0.16711149876561393,2024-12-18 23:39:50.986308,2024-12-18 23:39:51.535452,0 days 00:00:00.549144,kmeans,presence,60,4,COMPLETE
72,0.1604690637078581,2024-12-18 23:39:51.536703,2024-12-18 23:39:52.115530,0 days 00:00:00.578827,kmeans,presence,65,4,COMPLETE
73,0.20288181414061945,2024-12-18 23:39:52.116887,2024-12-18 23:39:52.706768,0 days 00:00:00.589881,kmeans,presence,30,4,COMPLETE
74,0.20800367661843602,2024-12-18 23:39:52.708133,2024-12-18 23:39:53.240986,0 days 00:00:00.532853,kmeans,presence,80,5,COMPLETE
75,0.1684005725395095,2024-12-18 23:39:53.242280,2024-12-18 23:39:53.788992,0 days 00:00:00.546712,kmeans,presence,75,3,COMPLETE
76,0.21499879822908555,2024-12-18 23:39:53.790239,2024-12-18 23:39:54.373896,0 days 00:00:00.583657,kmeans,presence,60,5,COMPLETE
77,0.25750075078998175,2024-12-18 23:39:54.375216,2024-12-18 23:39:54.922447,0 days 00:00:00.547231,kmeans,presence,70,4,COMPLETE
78,0.18096466171034073,2024-12-18 23:39:54.923678,2024-12-18 23:39:55.381052,0 days 00:00:00.457374,kmeans,presence,115,5,COMPLETE
79,0.1332449947510653,2024-12-18 23:39:55.382465,2024-12-18 23:39:55.983424,0 days 00:00:00.600959,kmeans,presence,45,4,COMPLETE
80,0.1729820509095538,2024-12-18 23:39:55.984686,2024-12-18 23:39:56.581697,0 days 00:00:00.597011,kmeans,presence,50,7,COMPLETE
81,0.17683957363885652,2024-12-18 23:39:56.583108,2024-12-18 23:39:57.191277,0 days 00:00:00.608169,kmeans,presence,65,4,COMPLETE
82,0.13937154310297706,2024-12-18 23:39:57.192535,2024-12-18 23:39:57.744032,0 days 00:00:00.551497,kmeans,presence,55,3,COMPLETE
83,0.20156533076403035,2024-12-18 23:39:57.745291,2024-12-18 23:39:58.331353,0 days 00:00:00.586062,kmeans,presence,70,3,COMPLETE
84,0.12048406658897746,2024-12-18 23:39:58.332600,2024-12-18 23:39:58.886309,0 days 00:00:00.553709,kmeans,presence,70,5,COMPLETE
85,0.2318506638411814,2024-12-18 23:39:58.887529,2024-12-18 23:39:59.418170,0 days 00:00:00.530641,kmeans,presence,90,4,COMPLETE
86,0.15248172669215823,2024-12-18 23:39:59.419498,2024-12-18 23:39:59.974715,0 days 00:00:00.555217,kmeans,presence,85,6,COMPLETE
87,0.23600015615430922,2024-12-18 23:39:59.975674,2024-12-18 23:40:00.496433,0 days 00:00:00.520759,kmeans,presence,90,5,COMPLETE
88,0.19030679174734175,2024-12-18 23:40:00.497872,2024-12-18 23:40:01.028413,0 days 00:00:00.530541,kmeans,presence,90,8,COMPLETE
89,0.26409241329656524,2024-12-18 23:40:01.029733,2024-12-18 23:40:01.543546,0 days 00:00:00.513813,kmeans,presence,100,2,COMPLETE
90,0.1150534849175102,2024-12-18 23:40:01.544766,2024-12-18 23:40:02.087627,0 days 00:00:00.542861,kmeans,presence,100,2,COMPLETE
91,0.3116069205395932,2024-12-18 23:40:02.088958,2024-12-18 23:40:02.609332,0 days 00:00:00.520374,kmeans,presence,90,3,COMPLETE
92,0.1309008755799203,2024-12-18 23:40:02.610471,2024-12-18 23:40:03.143909,0 days 00:00:00.533438,kmeans,presence,95,2,COMPLETE
93,0.18110379806638585,2024-12-18 23:40:03.145115,2024-12-18 23:40:03.665336,0 days 00:00:00.520221,kmeans,presence,100,2,COMPLETE
94,0.15368411277996658,2024-12-18 23:40:03.666692,2024-12-18 23:40:04.152804,0 days 00:00:00.486112,kmeans,presence,105,3,COMPLETE
95,0.17033312254174962,2024-12-18 23:40:04.154248,2024-12-18 23:40:04.683066,0 days 00:00:00.528818,kmeans,presence,90,9,COMPLETE
96,0.19773766779382518,2024-12-18 23:40:04.684429,2024-12-18 23:40:05.170351,0 days 00:00:00.485922,kmeans,presence,110,4,COMPLETE
97,0.18503935223432577,2024-12-18 23:40:05.171708,2024-12-18 23:40:05.698425,0 days 00:00:00.526717,kmeans,presence,85,10,COMPLETE
98,0.10545836919305192,2024-12-18 23:40:05.699735,2024-12-18 23:40:06.229647,0 days 00:00:00.529912,kmeans,presence,95,7,COMPLETE
99,0.18792674120467665,2024-12-18 23:40:06.230779,2024-12-18 23:40:06.779801,0 days 00:00:00.549022,kmeans,presence,90,6,COMPLETE
100,0.2310322607464921,2024-12-18 23:40:06.780839,2024-12-18 23:40:07.253005,0 days 00:00:00.472166,kmeans,presence,115,2,COMPLETE
101,0.24295851139488223,2024-12-18 23:40:07.254255,2024-12-18 23:40:07.706460,0 days 00:00:00.452205,kmeans,presence,115,2,COMPLETE
102,0.19277223879854752,2024-12-18 23:40:07.707718,2024-12-18 23:40:08.147511,0 days 00:00:00.439793,kmeans,presence,120,2,COMPLETE
103,0.14250981485986375,2024-12-18 23:40:08.148846,2024-12-18 23:40:08.617298,0 days 00:00:00.468452,kmeans,presence,115,2,COMPLETE
104,0.1237272315613636,2024-12-18 23:40:08.618648,2024-12-18 23:40:09.099095,0 days 00:00:00.480447,kmeans,presence,115,2,COMPLETE
105,0.17121615148921943,2024-12-18 23:40:09.100351,2024-12-18 23:40:09.608896,0 days 00:00:00.508545,kmeans,presence,105,2,COMPLETE
106,0.20715209692104689,2024-12-18 23:40:09.610254,2024-12-18 23:40:10.049922,0 days 00:00:00.439668,kmeans,presence,120,3,COMPLETE
107,0.15804584690578885,2024-12-18 23:40:10.051146,2024-12-18 23:40:10.573782,0 days 00:00:00.522636,kmeans,presence,110,2,COMPLETE
108,0.19352610751767493,2024-12-18 23:40:10.574789,2024-12-18 23:40:11.135084,0 days 00:00:00.560295,kmeans,presence,95,2,COMPLETE
109,0.16563959682500637,2024-12-18 23:40:11.136447,2024-12-18 23:40:11.638247,0 days 00:00:00.501800,kmeans,presence,105,3,COMPLETE
110,0.14769944895185794,2024-12-18 23:40:11.639220,2024-12-18 23:40:12.105413,0 days 00:00:00.466193,kmeans,presence,115,4,COMPLETE
111,0.15226849617793028,2024-12-18 23:40:12.106779,2024-12-18 23:40:12.524634,0 days 00:00:00.417855,kmeans,presence,120,2,COMPLETE
112,0.1159849485575139,2024-12-18 23:40:12.525744,2024-12-18 23:40:13.065451,0 days 00:00:00.539707,kmeans,presence,80,3,COMPLETE
113,0.21540894501366528,2024-12-18 23:40:13.066807,2024-12-18 23:40:13.597826,0 days 00:00:00.531019,kmeans,presence,100,3,COMPLETE
114,0.11770370768873972,2024-12-18 23:40:13.599217,2024-12-18 23:40:14.137613,0 days 00:00:00.538396,kmeans,presence,85,8,COMPLETE
115,0.24410832940669872,2024-12-18 23:40:14.138995,2024-12-18 23:40:14.629027,0 days 00:00:00.490032,kmeans,presence,110,6,COMPLETE
116,0.19875460899397038,2024-12-18 23:40:14.630265,2024-12-18 23:40:15.124275,0 days 00:00:00.494010,kmeans,presence,110,6,COMPLETE
117,0.1216599327759957,2024-12-18 23:40:15.125651,2024-12-18 23:40:15.606032,0 days 00:00:00.480381,kmeans,presence,110,5,COMPLETE
118,0.2301070709802128,2024-12-18 23:40:15.607385,2024-12-18 23:40:16.087233,0 days 00:00:00.479848,kmeans,presence,115,2,COMPLETE
119,0.1967513305842351,2024-12-18 23:40:16.088602,2024-12-18 23:40:16.636438,0 days 00:00:00.547836,kmeans,presence,90,6,COMPLETE
120,0.19760895818879617,2024-12-18 23:40:16.637807,2024-12-18 23:40:17.144411,0 days 00:00:00.506604,kmeans,presence,105,5,COMPLETE
121,0.167010881730278,2024-12-18 23:40:17.145425,2024-12-18 23:40:17.611445,0 days 00:00:00.466020,kmeans,presence,115,2,COMPLETE
122,0.1949967503757548,2024-12-18 23:40:17.612462,2024-12-18 23:40:18.062874,0 days 00:00:00.450412,kmeans,presence,120,2,COMPLETE
123,0.22016693250104166,2024-12-18 23:40:18.063883,2024-12-18 23:40:18.534677,0 days 00:00:00.470794,kmeans,presence,115,2,COMPLETE
124,0.14440888794055415,2024-12-18 23:40:18.535777,2024-12-18 23:40:19.026559,0 days 00:00:00.490782,kmeans,presence,110,2,COMPLETE
125,0.2112851813509242,2024-12-18 23:40:19.027575,2024-12-18 23:40:19.534430,0 days 00:00:00.506855,kmeans,presence,95,3,COMPLETE
126,0.21629760935449435,2024-12-18 23:40:19.535489,2024-12-18 23:40:19.955307,0 days 00:00:00.419818,kmeans,presence,120,9,COMPLETE
127,0.19537802816582064,2024-12-18 23:40:19.956326,2024-12-18 23:40:20.489903,0 days 00:00:00.533577,kmeans,presence,100,5,COMPLETE
128,0.21201377132587398,2024-12-18 23:40:20.491250,2024-12-18 23:40:21.043202,0 days 00:00:00.551952,kmeans,presence,80,2,COMPLETE
129,0.13944686771021675,2024-12-18 23:40:21.044153,2024-12-18 23:40:21.535081,0 days 00:00:00.490928,kmeans,presence,110,7,COMPLETE
130,0.2280225427894642,2024-12-18 23:40:21.536550,2024-12-18 23:40:21.986996,0 days 00:00:00.450446,kmeans,presence,115,4,COMPLETE
131,0.19246585724395068,2024-12-18 23:40:21.988384,2024-12-18 23:40:22.454152,0 days 00:00:00.465768,kmeans,presence,115,4,COMPLETE
132,0.16499054473898214,2024-12-18 23:40:22.455593,2024-12-18 23:40:22.908149,0 days 00:00:00.452556,kmeans,presence,115,4,COMPLETE
133,0.12222895462242793,2024-12-18 23:40:22.909508,2024-12-18 23:40:23.400071,0 days 00:00:00.490563,kmeans,presence,105,4,COMPLETE
134,0.14610642657698633,2024-12-18 23:40:23.401332,2024-12-18 23:40:23.821591,0 days 00:00:00.420259,kmeans,presence,120,4,COMPLETE
135,0.19924966229286323,2024-12-18 23:40:23.822910,2024-12-18 23:40:24.296284,0 days 00:00:00.473374,kmeans,presence,110,3,COMPLETE
136,0.1622066088441111,2024-12-18 23:40:24.297608,2024-12-18 23:40:24.895441,0 days 00:00:00.597833,kmeans,presence,35,4,COMPLETE
137,0.18030176975951762,2024-12-18 23:40:24.896772,2024-12-18 23:40:25.482982,0 days 00:00:00.586210,kmeans,presence,90,2,COMPLETE
138,0.10946225405057465,2024-12-18 23:40:25.484212,2024-12-18 23:40:25.960278,0 days 00:00:00.476066,kmeans,presence,115,5,COMPLETE
139,0.2032102523581829,2024-12-18 23:40:25.961959,2024-12-18 23:40:26.491670,0 days 00:00:00.529711,kmeans,presence,100,2,COMPLETE
140,0.24459734473657632,2024-12-18 23:40:26.493051,2024-12-18 23:40:27.031684,0 days 00:00:00.538633,kmeans,presence,85,6,COMPLETE
141,0.1822574140486829,2024-12-18 23:40:27.033058,2024-12-18 23:40:27.577807,0 days 00:00:00.544749,kmeans,presence,85,6,COMPLETE
142,0.14638922519454386,2024-12-18 23:40:27.578823,2024-12-18 23:40:28.130406,0 days 00:00:00.551583,kmeans,presence,95,6,COMPLETE
