Gene	Mean_Difference	p_value	p_adj
K09775	-23.337659568274365	0.002642292709917602	4.647792876745062
K04028	68.43260030775389	0.0027773935104643496	4.8854351849067905
K10111	101.58882001774629	0.0028558737825794783	5.023481983557303
K07260	-270.893846202899	0.002867840614631415	5.044531641136659
K01265	180.2770563484642	0.002901871150505132	5.104391353738527
K02357	406.9707514058118	0.002979738920286675	5.241360760784262
K00845	-87.51674615934317	0.002996359834477804	5.270596948846457
K01899	-72.09159454975332	0.003022873843541857	5.317235090790127
K07816	-262.42732347213837	0.0030302026799696514	5.330126514066617
K04762	-71.99910926070852	0.0031595317885803396	5.557616416112817
K02556	-81.32176848511475	0.00317692698231272	5.5882145618880745
K04024	36.44243950207896	0.0031989736028614894	5.62699456743336
K01788	177.9720510454447	0.003205211798435959	5.637967553448852
K07129	-32.85034698112361	0.003234131637545825	5.688837550443107
K02112	-590.8465182222053	0.0032673564955350556	5.747280075646163
K08744	48.4308770746548	0.003305104807753026	5.813679356837572
K06333	-86.64888146845712	0.003357982557077832	5.906691317899907
K03324	337.5321807551503	0.0033607500214429668	5.911559287718179
K02025	-181.45195467866597	0.0033697995703297775	5.927477444210078
K10254	304.2102384664595	0.0034611738366926805	6.088204778742425
K16927	-82.40719116339058	0.0035770880111310357	6.292097811579492
K04653	191.4395489539674	0.0036868266184787338	6.485128021904092
K07407	-240.90083621619715	0.0037725962797645813	6.635996856105899
K07126	-287.60455515696435	0.003777180737173067	6.644060916687425
K07458	133.7505121789565	0.0037783960615773568	6.64619867231457
K00981	89.16183215453341	0.003798014166198883	6.6807069183438355
K03605	107.53355754749963	0.0038766459563844007	6.819020237280161
K07058	-161.34969358566255	0.003926332042740601	6.906418063180718
K16850	-30.6993618190954	0.003979723099922706	7.00033293276404
K12573	213.8760698900931	0.004050869768950208	7.125479923583415
K04068	236.06980221943968	0.004065346124665061	7.150943833285843
K07560	-421.800076427719	0.004073274016782547	7.164888995520499
K07025	161.83787072376447	0.004073418603582587	7.165143323701771
K00789	-389.0210469161898	0.0041023440950560194	7.216023263203538
K18471	-109.58082532394465	0.004261646995416683	7.4962370649379455
K02950	512.20684720395	0.0044224389916807955	7.7790701863665195
K00558	-198.50562042721447	0.0044351804439870515	7.8014824009732235
K03177	-144.80501436581739	0.004462701046820597	7.84989114135743
K02968	-598.9147898821457	0.004517881956884769	7.946954362160309
K01838	55.582253667283894	0.004624311550188014	8.134164016780716
K01209	-146.55715838582455	0.004663455703160116	8.203018581858643
K14392	46.578912542700834	0.0046696855166666	8.21397682381655
K16363	-209.0514549251991	0.004683607385928871	8.238465391848884
K01880	-426.3973731777169	0.004739221049240686	8.336289825614367
K11202	179.32112912886018	0.004982154912539493	8.763610491156967
K08600	-289.10619740860045	0.0050602431743735675	8.900967743723106
K10200	-50.91110478163458	0.005176619920430374	9.105674440037028
K01810	-387.21716129363267	0.005186696614876243	9.12339934556731
K10947	110.02070139632823	0.0052180143077288355	9.178487167295021
K08369	-107.70750693651439	0.005353877450831002	9.417470436011731
K09815	71.47997549851584	0.005466536718613907	9.615638088041862
K01657	173.4747840320601	0.005503506355252055	9.680667678888366
K07284	489.49685146653417	0.005508929613389231	9.690207189951657
K01935	-99.5071729610969	0.005649869623878929	9.938120668403036
K02034	-219.4124966112754	0.005696382089333998	10.019936095138503
K00928	268.4478082582932	0.005800071629050007	10.202325995498962
K03217	325.6435447275471	0.0058535324442460105	10.296363569428733
K07775	-125.87046376622499	0.005872994428885939	10.330597200410367
K03536	492.38951664421415	0.005876470194293566	10.336711071762382
K00287	173.87484422631724	0.005945245815906258	10.457687390179109
K18910	-130.785609787	0.005973620421580556	10.507598321560197
K02346	256.91070401456096	0.0061552556761767085	10.82709473439483
K01626	112.64122360164384	0.006331117195300485	11.136435146533552
K02574	23.15789564996504	0.006360119076622167	11.187449455778392
K09811	197.91111808623242	0.0063779344497009146	11.218786697023909
K04759	-95.98980421809887	0.006385029757746258	11.231267343875666
K01972	-269.979087884484	0.006392021111173445	11.243565134554089
K07738	-392.2555196930607	0.006443008751471332	11.333252393838073
K01478	51.94283323918394	0.006619988082951355	11.644559037911433
K00975	-546.4343353324693	0.006623747219952926	11.651171359897196
K01873	-397.92158049775844	0.006838440231956433	12.028816368011364
K03737	-33.47825289572175	0.00687084388755867	12.085814398215701
K20461	-154.94614917721134	0.006914803624181244	12.163139574934808
K03588	57.841443299177314	0.006925760807324766	12.182413260084262
K01706	38.91401042100828	0.007017637654251323	12.344024633828077
K00677	-90.35615178399448	0.007112982658633741	12.51173649653675
K22958	-43.356354213016104	0.007113760309644692	12.513104384665013
K08289	-214.85118554850084	0.007344671161691309	12.919276573415013
K02986	435.78425354042065	0.007374401930567906	12.971572995868947
K03282	-334.4330983361633	0.007449282608022798	13.103288107512101
K04516	41.8474372468464	0.007537541669786828	13.25853579715503
K02654	-60.22001135442284	0.007608837378532634	13.383944948838904
K11069	89.42112739993277	0.00795381594996027	13.990762255980114
K00848	-203.9667096138188	0.008125775291536552	14.293238737812795
K06890	198.71476982814733	0.008195269066771762	14.415478288451528
K00554	270.44214385854366	0.008199136617759584	14.422281310639109
K15923	-151.1596615879895	0.00831746830239179	14.630426743907158
K01876	-483.79683368528003	0.008375769513681899	14.732978574566461
K18014	-61.4940097703432	0.008552480638270679	15.043813442718124
K00891	246.9578509989667	0.008632828039536168	15.18514452154412
K00016	415.19458241495363	0.008664699876238663	15.241207082303807
K00174	-94.71354003816165	0.00869585837954893	15.296014889626568
K02050	91.46741073751829	0.008738800079491866	15.371549339826192
K02819	64.66309252039659	0.00874165610042659	15.37657308065037
K02818	64.66309252039659	0.00874165610042659	15.37657308065037
K02445	-51.96543575747626	0.008840083050821047	15.549706086394222
K11927	-60.74761607179745	0.00891978774658197	15.689906646237686
K06387	-49.15172697357311	0.008958078848347113	15.757260694242571
K02005	-302.8223564427749	0.008962261335738865	15.764617689564663
K07559	-86.29134323140514	0.009005347362640552	15.840406010884731
K03325	-84.82599848433983	0.009037257593759408	15.896536107422799
K06001	-254.40741285481738	0.009411113225713804	16.554148164030583
K10017	47.59127705974163	0.009572184116287873	16.83747186055037
K03215	-182.9564786049234	0.009683256010847194	17.032847323080215
K06390	-35.03898239200723	0.009707188038920015	17.074943760460307
K04070	29.894849517952302	0.00981317095475938	17.26136770942175
K10794	-42.44815974655948	0.010044685574971906	17.668601926375583
K05878	35.70075469388885	0.010333042083374417	18.1758210246556
K09457	-395.22298312645603	0.01037212644447929	18.24457041583907
K10823	-115.9285813272976	0.01044238941045479	18.368162972989975
K00980	112.16748864566881	0.010523438415701738	18.51072817321936
K01489	-227.7686428628341	0.010634558869902921	18.70618905215924
K02573	35.24265043497637	0.010640701901219221	18.71699464424461
K00179	-96.80585443242157	0.01064228951518669	18.719787257213387
K14415	65.99602568072122	0.010867976490961785	19.11677064760178
K03502	37.59739774836822	0.010909192646282956	19.18926986481172
