,PC1,PC2,Lifestyle
37082_2#13,-28.51446257024905,-11.422164039019838,Urban
37082_3#8,225.70422388286312,-57.33686686388589,Rural
37035_1#8,-5.4556479516307235,-7.658163392858782,Rural
37082_2#14,-29.770837231006727,-9.11440402136163,Urban
37082_2#16,80.12690423987266,45.03661988826947,Rural
36703_3#9,-24.92733046340147,-9.701680001298879,Urban
37082_3#19,42.95392121767893,89.69133942470991,Rural
37082_1#26,33.865831750448116,-31.461709012764317,Urban
37035_2#2,-18.55812270968769,-22.60707680060631,Urban
37082_1#16,-21.80009623346822,-7.387895096240054,Urban
37082_2#19,-12.962675066709474,23.847442206232596,Rural
37082_1#28,-18.49818049398613,-13.8680486131396,Urban
37035_2#20,-56.08570652997254,-15.742016683770128,Urban
37035_7#4,54.33591967588575,-19.498895002389677,Rural
37035_7#19,-43.159852960009566,27.830164971039185,Rural
37082_2#6,-35.02541049521091,-9.061018255580857,Urban
37082_2#3,-8.147011717949932,-7.4709104716612815,Urban
37082_3#17,-27.332364389301237,13.064214855496541,Rural
37082_3#20,-34.67733617440867,15.925372932930694,Rural
37035_7#7,-13.180292089839343,-9.365852364448207,Rural
37082_1#21,-15.373037551337857,-14.602248642874997,Urban
37035_1#18,-4.366174288040447,11.713036869267235,Rural
37082_2#20,32.665233358871944,53.958274126329776,Rural
37035_1#31,-29.061356559564803,-3.207789644226377,Urban
37082_1#14,7.096108442900575,30.49377990021461,Urban
37035_7#10,6.908239115476357,-8.294434349320326,Rural
37035_2#7,-3.9239664394204175,-11.867577762943728,Urban
37082_3#4,32.74344136622599,46.413540608126446,Rural
36703_3#1,-35.93580945954668,-14.12533555677185,Urban
37082_3#12,25.736823094922652,0.10341029944195432,Rural
36703_3#21,132.1594335351322,-38.782077222102984,Rural
37035_2#11,-43.45719590531262,-15.83147124682084,Urban
37035_1#32,11.526413024367011,-16.459727410515747,Urban
37035_2#17,-7.838611220938638,-9.266453142850755,Urban
37035_2#28,37.482758373988645,-29.050409856696344,Urban
36703_3#10,-63.33748378368662,-9.819942694732386,Urban
37035_2#32,-46.380886727399286,-12.583706281855843,Urban
37035_2#4,-42.46659495739311,-14.729491255336063,Urban
37082_3#24,-3.96146891553933,39.271057018268344,Rural
37035_1#14,137.1218295565316,16.69636162260748,Rural
37035_1#21,-49.993843411584926,11.190163891055631,Rural
36703_3#30,48.24562882331976,-16.97481045557145,Rural
37035_1#26,-51.803042153499305,-5.478418733612918,Rural
37035_1#22,24.82672839668107,-13.838729586769638,Rural
37035_2#5,34.83378517664416,-17.44904333954342,Urban
36703_3#13,-32.98629976998014,-5.907542700048057,Rural
37035_7#9,-30.82745537437254,-2.4267385249785485,Rural
37082_1#13,-2.2983326733451506,-16.491802304882412,Urban
37035_7#3,-17.27034346536206,-2.988811459328099,Rural
37035_7#6,-0.9136078393135861,-15.097260229609256,Rural
