,PC1,PC2,Lifestyle
37035_1#21,-2.4773099417580076,24.28000510399597,Rural
37035_1#22,-20.641260285627915,-10.595232673768802,Rural
37035_1#23,-25.436681353892926,26.61717114162539,Rural
37035_1#24,-18.324055701712805,-8.456659243680724,Rural
37035_1#25,-34.310385237420654,-12.380908977266536,Rural
37035_1#26,-27.793630921584437,15.267510219747647,Rural
37035_1#27,-26.846649481579032,11.902085323094852,Rural
37035_1#29,23.051547192584458,-20.78959713796273,Urban
37035_1#2,-4.785076722932783,-30.70416073733323,Rural
37035_1#30,40.51523468512811,-10.024807779778488,Urban
37035_1#31,27.031007946357118,15.007438993267687,Urban
37035_1#32,12.426741348217764,-41.45374519545143,Urban
37035_1#3,18.374508430892565,-9.356157065858664,Rural
37035_1#4,-34.53677426103357,4.861878943601742,Rural
37035_1#5,-31.748487172943246,14.75264973420972,Rural
37035_1#6,-22.00997783849903,30.030869883237393,Rural
37035_1#7,-34.65947336167987,28.28602901554341,Rural
37035_1#8,-19.014476289370982,-19.865341837558105,Rural
37035_1#9,-30.601069139833662,22.394522106092968,Rural
37035_2#10,31.45590084165274,-20.776285648318833,Urban
37035_2#11,37.352573354032266,21.750228160225916,Urban
37035_2#12,29.377388037134992,-18.927204402465666,Urban
37035_2#13,34.952931341606366,9.61043969856167,Urban
37035_2#14,30.651357885491663,-33.72353207245083,Urban
37035_2#15,47.71322058678415,8.128278971763908,Urban
37035_2#16,36.97259240199665,12.730275806235035,Urban
37035_2#17,41.05740626325442,-11.515429791217452,Urban
37035_2#18,45.06071864756221,-1.8341074076509167,Urban
37035_2#19,46.50794494985378,15.061081540709958,Urban
37035_2#1,28.96605154021008,-12.178475305335905,Urban
37035_2#20,38.452844373664504,16.789771795287887,Urban
37035_2#21,41.93681898858192,-5.941110013898651,Urban
37035_2#23,24.283693511781095,-33.36461247591019,Urban
37035_2#24,24.978110905572343,-32.41076155647072,Urban
37035_2#25,25.18102295064407,-29.923830058448228,Urban
37035_2#26,32.03688772436402,-24.454393468679587,Urban
37035_2#27,44.38328172066613,23.154058549977155,Urban
37035_2#28,30.358608975491176,-35.99685373606467,Urban
37035_2#29,34.83702961712584,3.2753184768723123,Urban
37035_2#2,41.69879134243139,-5.054833257148189,Urban
37035_2#30,30.401697555512804,-23.177273313006143,Urban
37035_2#31,49.65567571506282,-2.3040380798527216,Urban
37035_2#32,32.77963980699511,21.78012117512627,Urban
37035_2#3,38.12060448680878,-16.266049428957558,Urban
37035_2#4,49.234484119262355,10.20622249908093,Urban
37035_2#5,37.44471276044848,-15.944749425831416,Urban
37035_2#6,28.983317831299274,1.1887491129859358,Urban
37035_2#7,33.7549018292016,-12.587173839157503,Urban
37035_2#8,38.61077455471619,-2.185289039970739,Urban
37035_2#9,39.2341545275774,17.111098111460972,Urban
37035_7#10,-8.232740901337712,-28.45675557045672,Rural
37035_7#11,-8.919251112614083,-3.0358296985847852,Rural
37035_7#12,-16.325366095827373,17.237195216785718,Rural
37035_7#13,-10.762644799477725,3.4953369347738996,Rural
37035_7#14,-13.984610688133193,-32.96525209191452,Rural
37035_7#15,-6.695091855937251,23.984764840176776,Rural
37035_7#16,-7.4679591031238735,-40.03176170004263,Rural
37035_7#17,-36.91863097420445,-1.1791686824032412,Rural
37035_7#19,-22.518557708346062,25.51295009135646,Rural
37035_7#1,-39.836963074433484,11.006778442664539,Rural
37035_7#20,-17.501023758950158,-10.080730676041535,Rural
37035_7#21,-31.13724358875047,16.05430873776572,Rural
37035_7#22,-28.374944606302048,7.949661289979192,Rural
37035_7#23,-17.462139271938995,-29.578195817765856,Rural
37035_7#24,-6.4103227168247505,18.574171592659116,Rural
37035_7#25,-0.6621398050191184,10.316978832582883,Rural
37035_7#2,-23.174426861491586,-27.3114940804581,Rural
37035_7#3,0.5843119265911176,1.2449023783311974,Rural
37035_7#4,-30.62976087833066,-32.34086596127508,Rural
37035_7#5,-1.2605012122086536,-11.247428443982342,Rural
37035_7#6,6.044282806006985,-2.8822863735118998,Rural
37035_7#7,-21.301604884072752,-5.872546963466099,Rural
37035_7#8,-4.595848183041652,-4.153948509206449,Rural
37035_7#9,-23.594212424454117,2.3022419289598264,Rural
37082_1#10,26.543623084438753,2.1186492559956807,Urban
37082_1#11,33.82454141172034,27.763768945963722,Urban
37082_1#12,49.364203680988055,10.349858562394317,Urban
37082_1#13,41.41574745076596,-9.417208742917012,Urban
37082_1#14,17.397379215123536,-9.669157506262712,Urban
37082_1#15,37.174331364397354,-16.452287406658414,Urban
37082_1#16,24.639796327379557,13.134427639402897,Urban
37082_1#17,24.288435971058323,-37.60404337108468,Urban
37082_1#18,22.1926700456957,14.332827504479122,Urban
37082_1#19,27.45335210378067,0.03171195493665827,Urban
37082_1#20,37.62959306876822,-9.597262183088207,Urban
37082_1#21,40.09614009414316,19.73553568476411,Urban
37082_1#22,32.50971880517835,20.365580648933737,Urban
37082_1#23,38.32136724307755,26.57307949036674,Urban
37082_1#24,26.61973143672503,7.470264446389926,Urban
37082_1#25,39.27008238481135,-8.625228822856402,Urban
37082_1#26,45.17402985333692,9.011044733088301,Urban
37082_1#27,37.2391589935508,-5.529196282512176,Urban
37082_1#28,38.1101655029244,13.280792172533177,Urban
37082_1#29,15.357402291300547,-13.013034457301591,Urban
37082_1#30,41.31368390417413,13.410017627292298,Urban
37082_1#31,42.42029566744705,13.977766354563096,Urban
37082_1#32,29.451631643136118,-16.68988357819967,Urban
37082_1#9,28.906975107444424,22.93564718083459,Urban
37082_2#10,21.553713554476268,14.603496328878737,Urban
37082_2#11,42.53534711750048,5.109937262077509,Urban
37082_2#12,31.85283488520667,11.230218209852204,Urban
37082_2#13,34.03694360754163,10.838009517845581,Urban
37082_2#14,21.913518475851546,24.640971781406755,Urban
37082_2#15,13.736687569889648,24.320409670182112,Urban
37082_2#16,-33.89833897292078,-27.103928844261404,Rural
37082_2#17,-35.84102285347271,-18.740253310749733,Rural
37082_2#18,-42.41096528997498,-5.231827544648347,Rural
37082_2#19,-39.31279543628691,27.04689201962076,Rural
37082_2#1,33.85495104248081,-18.602659390231274,Urban
37082_2#20,-33.97680278315685,4.2956090954985156,Rural
37082_2#21,-36.87803606549666,-15.568619651504681,Rural
37082_2#22,-44.51145512636604,22.063459840114124,Rural
37082_2#23,-12.769473831762149,-17.19159727453807,Rural
37082_2#24,-26.265255631911142,33.59265168523542,Rural
37082_2#25,-33.64825767159995,-2.5555247163228962,Rural
37082_2#26,-39.84265901021784,10.772087722364489,Rural
37082_2#27,-34.08983291110057,17.682050762663803,Rural
37082_2#28,-21.9487039489538,-27.539860488970376,Rural
37082_2#29,-36.588210000282174,-25.547599798696762,Rural
37082_2#2,36.016253687788534,-25.23714014691543,Urban
37082_2#30,-37.89302898347029,-9.365853876431105,Rural
37082_2#31,-38.10584044171689,22.14225152277588,Rural
37082_2#32,-44.03172062442879,3.020693335315854,Rural
37082_2#3,26.363319645520416,23.97436571348898,Urban
37082_2#5,28.527700144685006,17.3392709108056,Urban
37082_2#6,32.74359737895486,13.634360117696174,Urban
37082_2#7,7.594634965363987,17.03080514288713,Urban
37082_2#8,19.229502221918402,-10.48269897563262,Urban
37082_2#9,18.520458841251116,-36.80261923494322,Urban
37082_3#10,-43.40887702191455,-13.312250829458536,Rural
37082_3#11,-13.727385271643431,6.072638013443889,Rural
37082_3#12,-29.512880914312984,-4.985133739205909,Rural
37082_3#13,-30.987121598976948,-0.9912143800928337,Rural
37082_3#14,4.999244463907312,0.7000233308598531,Rural
37082_3#15,-48.10268222977721,4.052509303501751,Rural
37082_3#17,-33.64209698551132,21.889785229782106,Rural
37082_3#19,-36.66332724516526,-8.446579169732603,Rural
37082_3#1,-32.77460547159604,-0.41366528067109576,Rural
37082_3#20,-21.691351499393836,34.30204824157444,Rural
37082_3#21,-30.290377184570332,-14.084006693926082,Rural
37082_3#22,-31.375330256704974,25.59200769965226,Rural
37082_3#23,-37.57760577952735,10.386573263147426,Rural
37082_3#24,-36.52895714313787,10.178035952746466,Rural
37082_3#25,-16.32024649627602,8.033972788230312,Rural
37082_3#26,-32.168352715116455,-0.6490280009752747,Rural
37082_3#27,-37.931806815666555,16.77513662465614,Rural
