# Pathway,PC1,PC2,contribution
FUC-RHAMCAT-PWY: superpathway of fucose and rhamnose degradation,0.02460593562160414,-0.07547919249843472,0.10008512812003886
PWY-5840: superpathway of menaquinol-7 biosynthesis,0.08987187794653047,0.009526628316737623,0.09939850626326809
PWY-5860: superpathway of demethylmenaquinol-6 biosynthesis I,0.09103949618089091,0.007994781042083109,0.09903427722297402
PWY-5862: superpathway of demethylmenaquinol-9 biosynthesis,0.09103949618089091,0.007994781042083109,0.09903427722297402
DENOVOPURINE2-PWY: superpathway of purine nucleotides de novo biosynthesis II,0.06194865056847242,0.03669926397275021,0.09864791454122263
PWY-5747: 2-methylcitrate cycle II,0.07664807581106335,0.021651932146487786,0.09830000795755114
PWY-8073: lipid IVA biosynthesis (P. putida),0.03360840724044369,-0.06442147978117738,0.09802988702162108
NAGLIPASYN-PWY: lipid IVA biosynthesis (E. coli),0.03360840724044369,-0.06442147978117736,0.09802988702162105
"PWY-5837: 2-carboxy-1,4-naphthoquinol biosynthesis",0.09199232362195248,0.005959657780668081,0.09795198140262056
HEME-BIOSYNTHESIS-II: heme b biosynthesis I (aerobic),0.05317565748665353,-0.0447258538383068,0.09790151132496033
PWY-1861: formaldehyde assimilation II (assimilatory RuMP Cycle),-0.038443114234375075,0.05930839097977987,0.09775150521415495
PWY-5861: superpathway of demethylmenaquinol-8 biosynthesis I,0.0965752038423238,-0.0009316142615867004,0.0975068181039105
"PWY-6961: L-ascorbate degradation II (bacterial, aerobic)",0.08655672213989155,-0.010935511456126187,0.09749223359601773
PWY0-845: superpathway of pyridoxal 5'-phosphate biosynthesis and salvage,0.015335100779185543,-0.08186310314426848,0.09719820392345402
PWY-5104: L-isoleucine biosynthesis IV,0.017433483109847596,0.07864810287157471,0.0960815859814223
PWY-7204: pyridoxal 5'-phosphate salvage II (plants),0.07984374459444839,-0.015920796075705967,0.09576454067015436
PWY-5656: mannosylglycerate biosynthesis I,0.09399134027424437,-0.0015334399080624234,0.0955247801823068
PWY-6595: superpathway of guanosine nucleotides degradation (plants),-0.026625791996044725,-0.06846841624501925,0.09509420824106397
"PWY-7385: 1,3-propanediol biosynthesis (engineered)",0.07778861545389433,-0.017200395406658263,0.09498901086055259
PWY-6607: guanosine nucleotides degradation I,-0.026518715015317235,-0.0682879915207868,0.09480670653610403
ECASYN-PWY: enterobacterial common antigen biosynthesis,0.0790122839550972,0.015321512064760031,0.09433379601985722
"PWY-7388: octanoyl-[acyl-carrier protein] biosynthesis (mitochondria, yeast)",0.07759459392822335,0.01661250863058508,0.09420710255880843
GALACT-GLUCUROCAT-PWY: superpathway of hexuronide and hexuronate degradation,0.052026955422973774,-0.04191515392183209,0.09394210934480587
PWY-6876: isopropanol biosynthesis (engineered),-0.04706807044921943,0.04624185779875336,0.0933099282479728
PWY-7187: pyrimidine deoxyribonucleotides de novo biosynthesis II,0.07575189891977806,0.017373403720513717,0.09312530264029177
PWY0-1415: superpathway of heme b biosynthesis from uroporphyrinogen-III,0.06456371447907894,-0.027885598048996034,0.09244931252807498
PWY-5005: biotin biosynthesis II,-0.03155795678900852,-0.06062226773381653,0.09218022452282505
HEXITOLDEGSUPER-PWY: superpathway of hexitol degradation (bacteria),0.0818119354678754,0.010167606378864161,0.09197954184673955
PWY-7282: 4-amino-2-methyl-5-diphosphomethylpyrimidine biosynthesis II,0.01046340331026447,-0.081039317261396,0.09150272057166048
HEME-BIOSYNTHESIS-II-1: heme b biosynthesis V (aerobic),0.06204642660750444,-0.029225593967292608,0.09127202057479705
P105-PWY: TCA cycle IV (2-oxoglutarate decarboxylase),0.07797550251113881,0.013090612004258803,0.09106611451539762
KETOGLUCONMET-PWY: ketogluconate metabolism,0.06908304534970737,0.02166267996300777,0.09074572531271514
"PRPP-PWY: superpathway of histidine, purine, and pyrimidine biosynthesis",0.06323843438046454,0.02746666419024893,0.09070509857071347
"PWY0-301: L-ascorbate degradation I (bacterial, anaerobic)",0.07334867731759943,-0.017335191657771833,0.09068386897537127
METHGLYUT-PWY: superpathway of methylglyoxal degradation,0.04320452687470039,-0.0465995546307798,0.0898040815054802
PWY-6060: malonate degradation II (biotin-dependent),-0.03112374021468978,-0.058299496724760744,0.08942323693945052
PWY-622: starch biosynthesis,-0.051949598185045104,-0.037299453037403646,0.08924905122244875
NAD-BIOSYNTHESIS-II: NAD salvage pathway III (to nicotinamide riboside),0.04452508158904224,0.04470853101279165,0.08923361260183389
REDCITCYC: TCA cycle VI (Helicobacter),0.07464420713082469,-0.014298677205730484,0.08894288433655517
HISDEG-PWY: L-histidine degradation I,-0.05056040922883371,-0.03833435388174284,0.08889476311057655
PWY-5823: superpathway of CDP-glucose-derived O-antigen building blocks biosynthesis,-0.036451589051015726,-0.04950715395817633,0.08595874300919205
"PWY-7456: &beta;-(1,4)-mannan degradation",-0.045555263522576064,-0.03938463354749014,0.0849398970700662
PWY-7688: dTDP-&alpha;-D-ravidosamine and dTDP-4-acetyl-&alpha;-D-ravidosamine biosynthesis,-0.04080022713133933,-0.04250322399679804,0.08330345112813736
PWY-6292: superpathway of L-cysteine biosynthesis (mammalian),-0.015883266457465874,0.06705650960160897,0.08293977605907485
PWY-7254: TCA cycle VII (acetate-producers),0.007929191440038574,-0.07402266506922017,0.08195185650925875
KDO-NAGLIPASYN-PWY: superpathway of (Kdo)2-lipid A biosynthesis,0.06499128276715052,0.01665443890338967,0.08164572167054018
PWY0-1241: ADP-L-glycero-&beta;-D-manno-heptose biosynthesis,0.018349898238139085,-0.06287107241396232,0.0812209706521014
PROPFERM-PWY: superpathway of L-alanine fermentation (Stickland reaction),-0.03572159571013994,-0.045058234874787405,0.08077983058492735
PWY-8189: L-alanine degradation V (oxidative Stickland reaction),-0.035721595710139956,-0.045058234874787405,0.08077983058492735
PWY-8188: L-alanine degradation VI (reductive Stickland reaction),-0.035721595710139956,-0.045058234874787405,0.08077983058492735
PWY-6148: tetrahydromethanopterin biosynthesis,0.008307271595398255,0.0718560069336696,0.08016327852906785
"PWY-5464: superpathway of cytosolic glycolysis (plants), pyruvate dehydrogenase and TCA cycle",0.0761276598746512,0.003114952088432569,0.07924261196308377
PWY-7883: anhydromuropeptides recycling II,0.04681423331480676,-0.03230474226326006,0.07911897557806682
PWY0-1221: putrescine degradation II,0.06703853624939782,0.01194647959400064,0.07898501584339845
GLUDEG-I-PWY: GABA shunt,0.06461936682211121,0.014141753019829964,0.07876111984194117
PWY-5494: pyruvate fermentation to propanoate II (acrylate pathway),-0.03719769828103504,-0.04102989374029393,0.07822759202132896
PWY-6749: CMP-legionaminate biosynthesis I,-0.04610023552469212,-0.03210932275021645,0.07820955827490857
PWY66-391: fatty acid &beta;-oxidation VI (mammalian peroxisome),-0.026233032224947373,-0.05097055907659638,0.07720359130154375
FOLSYN-PWY: superpathway of tetrahydrofolate biosynthesis and salvage,0.04437735180476578,0.03189184719464488,0.07626919899941065
PWY-5677: succinate fermentation to butanoate,-0.043374482057526,-0.03211497367561807,0.07548945573314407
PWY0-1337: oleate &beta;-oxidation,0.0736563139719358,0.0014899270263260783,0.07514624099826188
PWY-6612: superpathway of tetrahydrofolate biosynthesis,0.0438084111707305,0.031249181434421205,0.0750575926051517
PWY-6902: chitin degradation II (Vibrio),-0.009800639866235965,-0.0646371118231101,0.07443775168934608
UDPNACETYLGALSYN-PWY: UDP-N-acetyl-D-glucosamine biosynthesis II,-0.047976241992777016,0.026273848343756682,0.0742500903365337
PYRIDOXSYN-PWY: pyridoxal 5'-phosphate biosynthesis I,0.009476573479855583,-0.06476672239411678,0.07424329587397237
PWY-6562: norspermidine biosynthesis,-0.02231683068074977,0.05111513725168852,0.0734319679324383
PWY-5514: UDP-N-acetyl-D-galactosamine biosynthesis II,-0.04774862816280585,0.025624847274364287,0.07337347543717014
PWY-7356: thiamine diphosphate salvage IV (yeast),-0.04218437732459065,-0.030842973458436097,0.07302735078302675
PWY-101: photosynthesis light reactions,-0.02103452423864892,0.05097409157616886,0.07200861581481778
PWY-7094: fatty acid salvage,0.07121901230389664,-0.000363551362834961,0.0715825636667316
PWY-7731: superpathway of photosynthetic hydrogen production,-0.01729998942784066,0.05423718203121504,0.07153717145905569
PWY0-166: superpathway of pyrimidine deoxyribonucleotides de novo biosynthesis (E. coli),0.0690616304888787,0.0011137322701504867,0.07017536275902919
P124-PWY: Bifidobacterium shunt,-0.030647854989321207,0.039388278620356564,0.07003613360967777
P108-PWY: pyruvate fermentation to propanoate I,0.052275762007223475,-0.016596153419245384,0.06887191542646887
PWY-6174: mevalonate pathway II (haloarchaea),-0.017661387137596074,0.05116882579916229,0.06883021293675837
PWY-8125: mevalonate pathway IV (archaea),-0.017661387137596074,0.0511688257991623,0.06883021293675837
PWY-6471: peptidoglycan biosynthesis IV (Enterococcus faecium),0.0025747935277345814,0.06593190344174861,0.0685066969694832
PWY-5705: allantoin degradation to glyoxylate III,0.058051558330718844,-0.010033886398738255,0.0680854447294571
THISYNARA-PWY: superpathway of thiamine diphosphate biosynthesis III (eukaryotes),-0.03421105165536661,-0.03361753469785905,0.06782858635322567
GALACTITOLCAT-PWY: galactitol degradation,0.06713245746357609,-0.0005641990581313637,0.06769665652170745
P162-PWY: L-glutamate degradation V (via hydroxyglutarate),-0.0374878793769628,-0.03007993299943093,0.06756781237639373
