,PC1,PC2,Lifestyle
37035_1#25,-18.591040229482935,12.496304883491971,Rural
37035_1#26,-13.867483622452724,0.6584781819099745,Rural
37035_1#27,-15.09779706510696,2.3805258546090475,Rural
37035_1#29,18.551613550186833,11.672776003660184,Urban
37035_1#2,-20.665613930051233,-6.24815631165972,Rural
37035_1#30,-21.06547034808755,-9.160700284845484,Urban
37035_1#31,-14.731709533363848,-8.883371710406342,Urban
37035_1#32,2.9521558084291404,-4.228541276941215,Urban
37035_1#3,20.57659882941122,-7.449733302492783,Rural
37035_1#4,27.598479350548775,15.602106388776631,Rural
37035_1#5,0.12551751807826297,-3.1648315020414346,Rural
37035_1#6,38.05764883692462,-1.7948665351766868,Rural
37035_1#7,7.960565834641789,12.792550474130016,Rural
37035_1#8,10.481825295754504,-3.1281945251522556,Rural
37035_1#9,-14.158358705944414,-0.08681066988989622,Rural
37035_2#10,-12.149083929048953,-12.304891147620744,Urban
37035_2#11,-8.03911892585244,-13.089400862113493,Urban
37035_2#12,-11.813280879894041,-10.986629224019827,Urban
37035_2#13,-12.877849410772905,-14.73341930075433,Urban
37035_2#14,-20.21413662538947,1.6971168245082424,Urban
37035_2#15,-16.536328842117424,-15.908554749702317,Urban
37035_2#16,-11.749959710436938,-13.129807484971588,Urban
37035_2#17,-10.431213739107461,-14.643194224819112,Urban
37035_2#18,-1.2663472715149473,-15.552266264145198,Urban
37035_2#19,-17.671425344315402,-13.318368109100355,Urban
37035_2#1,-19.740642501998916,-11.192597338092845,Urban
37035_2#20,-4.913315677400968,-12.983268961178307,Urban
37035_2#21,-21.82587042869872,-15.936691797462982,Urban
37035_2#23,22.346222015889758,4.932191378401805,Urban
37035_2#24,-20.79547677513603,-0.9394600238344547,Urban
37035_2#25,-7.4816658205638245,-13.128652386984156,Urban
37035_2#26,-19.878720925497365,-12.496170264266432,Urban
37035_2#27,20.711430532849665,-14.50030951337039,Urban
37035_2#28,30.760316601685084,-8.610297082205108,Urban
37035_2#29,-13.665598376263233,-14.703345680108203,Urban
37035_2#2,-18.89729755436657,-1.060180169590372,Urban
37035_2#30,-18.428136750780606,2.91049735367115,Urban
37035_2#31,-19.68140392230274,-15.287795367436251,Urban
37035_2#32,-10.22698238438937,-12.906515006280108,Urban
37035_2#3,4.692345919772697,-14.318154779046298,Urban
37035_2#4,16.848285639553144,-12.21004158968341,Urban
37035_2#5,-15.99559929369324,-13.730907859297998,Urban
37035_2#6,-19.453330744670065,-10.263799699260323,Urban
37035_2#7,5.244552351218975,-10.894267527611825,Urban
37035_2#8,-9.651312795419285,-10.66225913936851,Urban
37035_2#9,-17.54997825230198,-14.27531352953579,Urban
37035_7#10,-10.299598357626902,10.803077272193033,Rural
37035_7#11,1.8814412318292792,-4.499655832511406,Rural
37035_7#12,-2.2322149507904188,-5.574129587863987,Rural
37035_7#13,7.198743244422934,-5.651330332345019,Rural
37035_7#14,-21.358468828803442,8.015908298147325,Rural
37035_7#15,3.430747816635509,-2.107687164324368,Rural
37035_7#16,-18.345887160538336,-2.388804781505296,Rural
37035_7#17,23.654026448102012,18.285148649300183,Rural
37035_7#19,39.48982186108762,-1.2791016519255884,Rural
37035_7#1,-22.35108966862499,23.877600181515284,Rural
37035_7#20,6.206328046917613,5.554147409086082,Rural
37035_7#21,25.59961357328851,18.10956460931559,Rural
37035_7#22,-17.56527158040062,17.636791690399495,Rural
37035_7#23,-9.292819134653579,-5.435247431122699,Rural
37035_7#24,-8.074843418790655,-4.049126625748565,Rural
37035_7#25,21.512895682819025,-6.94962108314695,Rural
37035_7#2,-11.133184784957402,10.756104939365187,Rural
37035_7#3,-6.892320209074121,-7.601671992374247,Rural
37035_7#4,19.28889045042235,17.397451818085138,Rural
37035_7#5,-14.587806614923336,-8.154162050401377,Rural
37035_7#6,-7.6819301958789215,-7.987406782051717,Rural
37035_7#7,-10.919684381599343,1.699787150955873,Rural
37035_7#8,-17.24960630988419,-5.132156659745567,Rural
37035_7#9,-7.035412166786496,-7.101249132073499,Rural
37082_1#10,14.600441987823675,11.669940413279079,Urban
37082_1#11,4.515477465830738,-11.118941005541123,Urban
37082_1#12,18.580107904914104,-14.400611971338602,Urban
37082_1#13,2.8271271006526786,-0.4656446250578072,Urban
37082_1#14,-18.45730636207505,-4.666490876440138,Urban
37082_1#15,23.177095949777428,-7.745161910959503,Urban
37082_1#16,15.384935646998132,-6.807611145950992,Urban
37082_1#17,-19.07570577822252,2.5613724016609796,Urban
37082_1#18,7.810503423601362,-12.263153064290336,Urban
37082_1#19,9.578367539337695,-8.636607749438433,Urban
37082_1#20,-18.166584124249948,-9.976838196344264,Urban
37082_1#21,-9.536295404730426,-14.238789585823636,Urban
37082_1#22,-15.681911490064739,-10.16201408664895,Urban
37082_1#23,17.24014098168517,-10.633477249296991,Urban
37082_1#24,3.7437772327538537,-10.982150848621949,Urban
37082_1#25,-15.418941635939925,-12.701978821920472,Urban
37082_1#26,-19.488434565271195,-14.08752382892747,Urban
37082_1#27,-19.210208876845623,-11.164297160071646,Urban
37082_1#28,-16.125306649416682,-12.565012545735886,Urban
37082_1#29,6.65725208956663,1.3529831469324376,Urban
37082_1#30,22.33716819014147,-9.809632065210678,Urban
37082_1#31,-12.879702192165103,-13.507327929845154,Urban
