,PC1,PC2,contribution
GGB9365,0.044447423342318104,0.0377472907881486,0.0821947141304667
GGB58158,0.04080544194874425,0.041135998688791524,0.08194144063753578
Coprococcus,0.048442012642148605,0.03277208542577528,0.08121409806792389
GGB9253,0.021822033123318003,-0.05902192220212367,0.08084395532544167
Guopingia,0.04500794229406731,0.034782936079115666,0.07979087837318297
GGB4604,-0.041300955191732554,0.03818740930542685,0.0794883644971594
Leyella,-0.07398308124082213,-0.004652158038335069,0.0786352392791572
Faecalibacterium,0.06547850646694899,0.012919817633282994,0.07839832410023198
Oliverpabstia,-0.016093358505859922,0.06190089732246579,0.07799425582832571
Collinsella,-0.020981562920453146,0.05636728764292803,0.07734885056338117
Lactococcus,0.0032978099311949207,0.07345097412499305,0.07674878405618797
Agathobaculum,0.07454896542859117,-0.0017513445667476923,0.07630030999533886
GGB9531,0.04536034655559956,0.030293688622486274,0.07565403517808583
GGB9621,0.05651822359443058,0.019016502449943132,0.07553472604437371
GGB4644,-0.07369255879830419,-0.001725275457325397,0.07541783425562959
Granulicatella,-0.006936676810544361,0.0684108511197024,0.07534752793024675
GGB9591,-0.022319960915022617,-0.05254061155219546,0.07486057246721807
Veillonella,0.0400252857162893,0.034678274844405124,0.07470356056069442
GGB9686,-0.03134339258174486,-0.04287792027477244,0.0742213128565173
GGB3490,0.028236642902162115,0.045591548743122844,0.07382819164528495
Hominenteromicrobium,0.04799792015770454,-0.025510207347709504,0.07350812750541405
GGB9534,0.055313529974899835,0.0181721779383392,0.07348570791323904
GGB34228,0.015830737162014732,-0.057280418905751265,0.073111156067766
Dorea,0.01241940740583963,0.060417434267807706,0.07283684167364733
GGB82047,-0.06121913132701457,-0.010741531778673735,0.0719606631056883
GGB30337,0.018316101907748555,-0.05362649527253942,0.07194259718028798
GGB4611,-0.04357254514375777,0.028205435556699635,0.0717779807004574
GGB13404,0.03258729358469638,-0.038583078328818375,0.07117037191351475
Desulfovibrio,0.0466769734048243,-0.024327968667039224,0.07100494207186353
GGB9730,-0.03766538501518238,0.033210774851973185,0.07087615986715556
GGB9524,0.049742480070022216,0.02111748291773842,0.07085996298776064
Anaerosacchariphilus,0.045012970377840626,0.025039341991899597,0.07005231236974022
GGB9590,0.024639453853711666,-0.045410445364364185,0.07004989921807585
GGB9290,-0.0031196060551041288,-0.06667405624976369,0.06979366230486782
GGB31460,-0.03125813107514025,-0.03838851503891965,0.0696466461140599
GGB4682,-0.04210392698624636,-0.02749386715572285,0.0695977941419692
GGB1458,-0.045889899268732944,-0.023098359052874027,0.06898825832160697
Gemella,0.004019020711374783,0.06483026341755656,0.06884928412893133
GGB9697,0.01391533204834037,-0.05486597911068063,0.068781311159021
GGB9701,-0.02543427118528064,-0.0432962814259737,0.06873055261125434
GGB4629,-0.036248566934113026,0.031420222243997535,0.06766878917811056
GGB9302,-0.001704868379710748,-0.06595937567128549,0.06766424405099623
Kineothrix,-0.010741938374379255,-0.05657495670790703,0.06731689508228628
GGB9673,-0.027291793239185104,-0.03961198581296987,0.06690377905215497
Ruminococcus,0.03219743392217117,0.03423743025815163,0.0664348641803228
GGB9786,-0.0408159502538919,-0.02542978638752035,0.06624573664141224
GGB4552,-0.023940140186285666,-0.0422884565695662,0.06622859675585187
Anthropogastromicrobium,0.047416447062719164,-0.018748982220078574,0.06616542928279774
GGB4723,-0.04737893811500933,-0.01751028410658023,0.06488922222158956
GGB3118,-0.020060792137618685,-0.04482314564666681,0.0648839377842855
GGB9787,-0.02876097575265864,-0.03540279626346966,0.0641637720161283
GGB1247,-0.04940258685514533,0.014756672461374387,0.06415925931651971
GGB4699,-0.017585992798774694,-0.046315967075600255,0.06390195987437494
GGB9288,0.01726904960566218,-0.045353112132683435,0.06262216173834562
GGB4704,-0.02999173487666202,0.03192828190627178,0.0619200167829338
Simiaoa,0.01607415252307783,-0.04574979929272494,0.061823951815802775
GGB9778,-0.056370551641054194,-0.005111193568407929,0.061481745209462126
GGB9737,-0.00032596957408381435,-0.061143806472235156,0.06146977604631897
GGB4649,-0.01965778460119449,0.04101298574510399,0.060670770346298475
Eubacterium,0.04447884513163072,0.01600704529998189,0.060485890431612614
GGB4569,-0.019356564142904854,-0.04060083438509309,0.059957398527997946
GGB3345,0.020652950272353362,-0.039262819456253796,0.059915769728607154
GGB9759,-0.052144488113786774,-0.007360280935157292,0.05950476904894407
Butyribacter,0.03673124571569103,0.022697244296530843,0.05942849001222188
